Genome	D1_P102_M Read Count	D1_P102_M Covered Fraction	D1_P102_M Length	D1_P107_M Read Count	D1_P107_M Covered Fraction	D1_P107_M Length	D1_P167_M Read Count	D1_P167_M Covered Fraction	D1_P167_M Length	D1_P225_M Read Count	D1_P225_M Covered Fraction	D1_P225_M Length	D1_P295_M Read Count	D1_P295_M Covered Fraction	D1_P295_M Length	D1_P304_M Read Count	D1_P304_M Covered Fraction	D1_P304_M Length	D1_P46_M Read Count	D1_P46_M Covered Fraction	D1_P46_M Length	D1_P47_M Read Count	D1_P47_M Covered Fraction	D1_P47_M Length	D3_P186_M Read Count	D3_P186_M Covered Fraction	D3_P186_M Length	D3_P190_M Read Count	D3_P190_M Covered Fraction	D3_P190_M Length	D3_P191_M Read Count	D3_P191_M Covered Fraction	D3_P191_M Length	D3_P265_M Read Count	D3_P265_M Covered Fraction	D3_P265_M Length	D3_P266_M Read Count	D3_P266_M Covered Fraction	D3_P266_M Length	D3_P41_M Read Count	D3_P41_M Covered Fraction	D3_P41_M Length	D3_P75_M Read Count	D3_P75_M Covered Fraction	D3_P75_M Length	D3_P9_M Read Count	D3_P9_M Covered Fraction	D3_P9_M Length	G1_P178_M Read Count	G1_P178_M Covered Fraction	G1_P178_M Length	G1_P196_M Read Count	G1_P196_M Covered Fraction	G1_P196_M Length	G1_P276_M Read Count	G1_P276_M Covered Fraction	G1_P276_M Length	G1_P291_M Read Count	G1_P291_M Covered Fraction	G1_P291_M Length	G1_P294_M Read Count	G1_P294_M Covered Fraction	G1_P294_M Length	G1_P43_M Read Count	G1_P43_M Covered Fraction	G1_P43_M Length	G1_P74_M Read Count	G1_P74_M Covered Fraction	G1_P74_M Length	G1_P82_M Read Count	G1_P82_M Covered Fraction	G1_P82_M Length	G3_P143_M Read Count	G3_P143_M Covered Fraction	G3_P143_M Length	G3_P149_M Read Count	G3_P149_M Covered Fraction	G3_P149_M Length	G3_P14_M Read Count	G3_P14_M Covered Fraction	G3_P14_M Length	G3_P179_M Read Count	G3_P179_M Covered Fraction	G3_P179_M Length	G3_P212_M Read Count	G3_P212_M Covered Fraction	G3_P212_M Length	G3_P261_M Read Count	G3_P261_M Covered Fraction	G3_P261_M Length	G3_P301_M Read Count	G3_P301_M Covered Fraction	G3_P301_M Length	G3_P84_M Read Count	G3_P84_M Covered Fraction	G3_P84_M Length
all_samples_bin.164	89202	0.9140203	2403940	25147	0.59364253	2403940	16645	0.51623416	2403940	289133	0.97553056	2403940	3578775	0.997757	2403940	497807	0.9826468	2403940	203002	0.96703744	2403940	22038	0.4719136	2403940	7974	0.21022238	2403940	2285	0.07441825	2403940	9952	0.3585576	2403940	3503	0.11261762	2403940	28557	0.5939707	2403940	33025	0.607199	2403940	29213	0.5765252	2403940	35022	0.58526796	2403940	24169	0.5927128	2403940	132405	0.94326603	2403940	34493	0.60013354	2403940	961181	0.99605817	2403940	256680	0.9806925	2403940	361026	0.9770165	2403940	20688	0.61114585	2403940	71257	0.857417	2403940	98027	0.9065971	2403940	335954	0.99178976	2403940	5539293	0.97825736	2403940	88685	0.84650034	2403940	57149	0.7787108	2403940	581274	0.99707854	2403940	2722421	0.99753237	2403940	416810	0.9658311	2403940
all_samples_bin.165	16149	0.4836919	1866066	8564	0.31298143	1866066	4291	0.22288279	1866066	29187	0.6807369	1866066	240330	0.99549747	1866066	120298	0.97787327	1866066	47616	0.80098504	1866066	6524	0.22625513	1866066	6207	0.23021694	1866066	501	0.023005618	1866066	1104	0.053479888	1866066	722	0.030507496	1866066	6720	0.25433612	1866066	13690	0.36204293	1866066	6074	0.21598646	1866066	2913	0.11508864	1866066	6129	0.22508904	1866066	22618	0.6015505	1866066	9744	0.29730353	1866066	409572	0.99435496	1866066	43135	0.8303233	1866066	19056	0.5081814	1866066	525	0.024014693	1866066	31030	0.7218475	1866066	79044	0.9095118	1866066	42571	0.77767617	1866066	15549	0.091625914	1866066	40576	0.76211506	1866066	17522	0.47624576	1866066	456363	0.99416953	1866066	545854	0.99496853	1866066	38799	0.7107412	1866066
all_samples_bin.166	8154	0.2579545	2110124	10325	0.33237335	2110124	3483	0.16336149	2110124	6300	0.19928876	2110124	158131	0.9906669	2110124	2274	0.025989467	2110124	1828	0.060822017	2110124	3093	0.10272904	2110124	800	0.037693992	2110124	174	0.0071057435	2110124	1160	0.05138229	2110124	810	0.028928632	2110124	599	0.021575509	2110124	2371	0.111655526	2110124	5367	0.1681067	2110124	1678	0.06244088	2110124	1563	0.05409303	2110124	12182	0.36642966	2110124	1338	0.04133596	2110124	556527	0.9989958	2110124	3196	0.110973574	2110124	2762	0.077515826	2110124	84	0.0035637717	2110124	672	0.0064005717	2110124	2105	0.071534656	2110124	172334	0.98877126	2110124	18128	0.37208146	2110124	5412	0.053352315	2110124	727	0.019838644	2110124	441700	0.99695706	2110124	140213	0.98894143	2110124	1177	0.0100742895	2110124
all_samples_bin.167	1195	0.04985231	1854257	468	0.020657869	1854257	2386	0.12152145	1854257	660	0.029675499	1854257	2632	0.12902473	1854257	4310	0.18043831	1854257	812	0.031165043	1854257	365	0.013945747	1854257	176	0.0073997295	1854257	406	0.01883342	1854257	134	0.0061987094	1854257	180	0.008533876	1854257	443	0.021028908	1854257	1216	0.043114845	1854257	365	0.015336062	1854257	414	0.016801339	1854257	367	0.014566481	1854257	803	0.0331103	1854257	2715	0.10138239	1854257	26799	0.7201068	1854257	11577	0.40078425	1854257	1981	0.08209919	1854257	190	0.010279589	1854257	54499	0.89560294	1854257	2222	0.08612129	1854257	78983	0.9465236	1854257	31863	0.77794343	1854257	4587	0.18459523	1854257	1971	0.08461772	1854257	28575	0.76324046	1854257	9006	0.39349076	1854257	2240	0.07592907	1854257
all_samples_bin.168	418957	0.98071903	1548780	8788	0.39298415	1548780	32350	0.82956326	1548780	73015	0.9277315	1548780	91070	0.9451155	1548780	67597	0.92423135	1548780	23554	0.7225229	1548780	164169	0.9591259	1548780	129325	0.9535202	1548780	231603	0.96206564	1548780	279917	0.9652733	1548780	6457	0.34966168	1548780	4875	0.26332662	1548780	136901	0.9444866	1548780	26813	0.7589012	1548780	111744	0.9718294	1548780	35682	0.8160223	1548780	320601	0.96601325	1548780	214150	0.9524729	1548780	85971	0.93530715	1548780	338800	0.96621984	1548780	328577	0.9564696	1548780	2697	0.1685869	1548780	498767	0.9685688	1548780	37072	0.8255698	1548780	223823	0.9761858	1548780	209535	0.9450535	1548780	214148	0.95393276	1548780	25547	0.76114875	1548780	74061	0.933035	1548780	87952	0.94047314	1548780	5013	0.2580373	1548780
all_samples_bin.16	1294	0.016137801	1329921	205	0.0045882426	1329921	1117	0.0070357565	1329921	246	0.0037904507	1329921	45	0.0021023806	1329921	4605	0.2639841	1329921	166	0.011000654	1329921	1562	0.06749874	1329921	240	0.017042365	1329921	3716	0.18371016	1329921	2097	0.12822942	1329921	784	0.016391952	1329921	74	0.006173299	1329921	5451	0.2246953	1329921	33554	0.8739504	1329921	56192	0.95241594	1329921	372	0.02347207	1329921	1452	0.08096722	1329921	1518	0.008305005	1329921	69	0.0037257853	1329921	1025	0.018061223	1329921	968	0.06951015	1329921	9181	0.38642973	1329921	6091	0.33217913	1329921	790	0.026275245	1329921	518	0.014567782	1329921	54	0.0029588223	1329921	375	0.013530127	1329921	501	0.0198102	1329921	178	0.011769872	1329921	156	0.0097246375	1329921	4169	0.21615495	1329921
all_samples_bin.170	877	0.036126476	1885404	2505	0.12851357	1885404	1476	0.04144841	1885404	105	0.0050434815	1885404	2158	0.121290185	1885404	116	0.0059133214	1885404	66	0.003262961	1885404	5111	0.10401378	1885404	93	0.004627125	1885404	14461	0.15417916	1885404	20777	0.18330766	1885404	20	0.0013413571	1885404	16	0.0011642068	1885404	1125255	0.99128675	1885404	410	0.015360634	1885404	4593	0.11986449	1885404	2673	0.074969076	1885404	5088	0.09749051	1885404	3952	0.15316929	1885404	2562	0.13829716	1885404	4460	0.09864199	1885404	13	0.00094303396	1885404	6422	0.20242134	1885404	373	0.017687986	1885404	67	0.0040299054	1885404	880	0.037528295	1885404	61	0.0035207309	1885404	3925	0.1014642	1885404	2141	0.06849831	1885404	658	0.029123202	1885404	23	0.0014283411	1885404	2555	0.1131121	1885404
all_samples_bin.171	9	0.0003243184	1843867	25	0.0014610598	1843867	12	0.0004203123	1843867	35	0.002111866	1843867	57	0.00057487877	1843867	95	0.003345686	1843867	78	0.004017101	1843867	279	0.017007193	1843867	293	0.017628169	1843867	10512	0.30824673	1843867	84	0.0038289095	1843867	65	0.0035723834	1843867	227	0.013294885	1843867	428	0.008804865	1843867	134251	0.9865744	1843867	29716	0.668616	1843867	76	0.0017436182	1843867	39	0.0006486368	1843867	76	0.0006524332	1843867	98	0.001019054	1843867	60	0.0013515075	1843867	518	0.018224742	1843867	59	0.0025576681	1843867	203	0.0047790864	1843867	11	0.00021530838	1843867	117	0.0013769973	1843867	85	0.00082164275	1843867	217	0.0022181643	1843867	234	0.013009073	1843867	164	0.0051278104	1843867	434	0.024241446	1843867	50	0.0020261765	1843867
all_samples_bin.172	1976462	0.9560946	1570400	82076	0.90474653	1570400	220833	0.9531737	1570400	399691	0.96206063	1570400	40638	0.84365004	1570400	77662	0.9262335	1570400	85550	0.9240525	1570400	640615	0.95266044	1570400	27937	0.7048765	1570400	752144	0.9613226	1570400	51185	0.87492996	1570400	20761	0.657798	1570400	16344	0.61675245	1570400	140989	0.9053808	1570400	13153	0.32326096	1570400	93776	0.85125893	1570400	31037	0.7783004	1570400	142795	0.9219377	1570400	216540	0.96600866	1570400	21667	0.60725355	1570400	489571	0.96543235	1570400	159277	0.9439691	1570400	43593	0.81853795	1570400	274235	0.9551127	1570400	50030	0.858913	1570400	226144	0.9669396	1570400	48084	0.8549841	1570400	298046	0.9466257	1570400	152518	0.95471793	1570400	64883	0.8965187	1570400	77044	0.92943835	1570400	185451	0.9619549	1570400
all_samples_bin.173	1689	0.07129668	1905783	570	0.025431542	1905783	753	0.037393555	1905783	736	0.03241345	1905783	939	0.04399714	1905783	2927	0.11785655	1905783	1696	0.062106233	1905783	432	0.01622955	1905783	173	0.007257909	1905783	2042	0.10159027	1905783	223	0.011894324	1905783	162	0.006480801	1905783	489	0.020298218	1905783	2051	0.07227738	1905783	666	0.02548821	1905783	400	0.015175914	1905783	511	0.022615377	1905783	2621	0.10761561	1905783	1908	0.068088025	1905783	59172	0.917254	1905783	8721	0.30012336	1905783	1877	0.06326796	1905783	260	0.012520313	1905783	23557	0.60196203	1905783	1440	0.056501187	1905783	60791	0.8861675	1905783	55479	0.8961975	1905783	5841	0.20303571	1905783	1023	0.04366394	1905783	45515	0.874704	1905783	5317	0.23771594	1905783	92	0.0026461564	1905783
all_samples_bin.174	975	0.0734306	1114372	56	0.0057395557	1114372	450	0.04117117	1114372	37	0.0033732003	1114372	81	0.0052935644	1114372	1370	0.054648716	1114372	396	0.025239328	1114372	313	0.003989691	1114372	1209	0.086968265	1114372	1442	0.115576304	1114372	23	0.0022120082	1114372	270	0.023877125	1114372	487	0.040113177	1114372	149	0.008924309	1114372	1563	0.11288152	1114372	2076	0.15492404	1114372	9886	0.5275195	1114372	193	0.015766729	1114372	33	0.0012509287	1114372	14090	0.61948526	1114372	743	0.02767478	1114372	278	0.024289913	1114372	23	0.0020953505	1114372	126526	0.99136287	1114372	11	0.0008524981	1114372	1	0.00013460497	1114372	73	0.004856547	1114372	64	0.001381047	1114372	9	0.00061290123	1114372	67838	0.9812271	1114372	136	0.014168519	1114372	4	0.00022344424	1114372
all_samples_bin.175	621	0.01431757	2533740	215	0.004787784	2533740	148	0.006767861	2533740	9279	0.23191842	2533740	1324	0.03713167	2533740	1184	0.032881036	2533740	1642	0.045820408	2533740	34920	0.6902539	2533740	237	0.0077778306	2533740	351	0.01169378	2533740	6341	0.1624776	2533740	108	0.0046093916	2533740	7236	0.2420722	2533740	211	0.0039834394	2533740	2296	0.07691871	2533740	180	0.0053880825	2533740	1529	0.017556656	2533740	26166	0.6234629	2533740	452	0.014846038	2533740	157	0.004764104	2533740	6509	0.19203864	2533740	396	0.012911349	2533740	618	0.016972143	2533740	2800	0.09146597	2533740	307	0.007679162	2533740	816	0.029556703	2533740	5736	0.19329292	2533740	66582	0.8794217	2533740	74334	0.91869175	2533740	667	0.019701311	2533740	11118	0.35736027	2533740	1439	0.03516225	2533740
all_samples_bin.176	1232	0.023387298	2661402	14337	0.3541791	2661402	498	0.02066392	2661402	5352	0.13108617	2661402	43883	0.7536088	2661402	65173	0.85279787	2661402	7928	0.21412963	2661402	11093	0.30056527	2661402	910	0.020541053	2661402	38867	0.16171815	2661402	111265	0.9381784	2661402	1853	0.06622712	2661402	2055	0.072508775	2661402	11615	0.30787456	2661402	2715	0.08646044	2661402	26362	0.56617075	2661402	28056	0.53303033	2661402	14217	0.3441363	2661402	944	0.034189124	2661402	212457	0.9698794	2661402	66235	0.8415339	2661402	88638	0.91412306	2661402	1495	0.04631882	2661402	64415	0.86458755	2661402	111543	0.93987906	2661402	9546	0.2584604	2661402	1850	0.053999733	2661402	24164	0.5384294	2661402	229711	0.9840787	2661402	88022	0.8751053	2661402	1688	0.048490983	2661402	10831	0.29147494	2661402
all_samples_bin.177	533	0.009178006	3340595	653	0.016394684	3340595	1928	0.06731915	3340595	2345	0.03606633	3340595	22995	0.11451403	3340595	10507	0.13831967	3340595	2510	0.065896645	3340595	405	0.008810407	3340595	32458	0.5337405	3340595	247	0.005917209	3340595	921	0.011929612	3340595	34	0.0009722819	3340595	172	0.0044997972	3340595	1061	0.017584892	3340595	230	0.005844767	3340595	1693	0.055628415	3340595	216	0.0041989526	3340595	2070	0.06967292	3340595	1014	0.025527189	3340595	60245	0.71308196	3340595	2936	0.0366306	3340595	2399	0.01709396	3340595	335	0.007178362	3340595	10404	0.03482284	3340595	13385	0.22442918	3340595	267108	0.9190752	3340595	12276	0.055012055	3340595	28449	0.0626589	3340595	5567	0.10537823	3340595	1060794	0.9946982	3340595	11657	0.17692927	3340595	27099	0.04012788	3340595
all_samples_bin.178	272	0.008468178	1912572	253	0.014706374	1912572	218	0.012071179	1912572	227	0.008593664	1912572	1522	0.07113249	1912572	7895	0.28462145	1912572	1182	0.041275833	1912572	420	0.008916265	1912572	394	0.012649459	1912572	415	0.01162466	1912572	341	0.010968476	1912572	135	0.0045059742	1912572	299	0.011860468	1912572	879	0.02079974	1912572	662	0.025975492	1912572	676	0.019250518	1912572	366	0.004887659	1912572	591	0.013371523	1912572	1773	0.06269307	1912572	112146	0.9933749	1912572	23881	0.63624585	1912572	872	0.0159926	1912572	123	0.0034717647	1912572	8967	0.28910598	1912572	394	0.019301234	1912572	67565	0.9297297	1912572	540	0.01760718	1912572	2396	0.052906245	1912572	1623	0.058749683	1912572	90671	0.9824629	1912572	542	0.015317594	1912572	189	0.0035125476	1912572
all_samples_bin.179	46	0.0011613523	2220687	81	0.0025465093	2220687	1429	0.05717825	2220687	96	0.0048831734	2220687	153	0.00828032	2220687	55	0.0020966486	2220687	27	0.00095510983	2220687	117	0.0029144133	2220687	527	0.022737108	2220687	10565	0.35835668	2220687	984	0.036588226	2220687	1192	0.047515474	2220687	199	0.009037743	2220687	9156	0.28687698	2220687	5397	0.19465327	2220687	5954	0.20375001	2220687	648	0.02774817	2220687	8120	0.28946537	2220687	1729	0.06225506	2220687	2859	0.11509952	2220687	36997	0.774264	2220687	83	0.0016562442	2220687	277	0.005559541	2220687	9195	0.29512084	2220687	235	0.0057891994	2220687	48521	0.8650886	2220687	85	0.0048237327	2220687	205	0.00835102	2220687	521	0.019922664	2220687	135	0.0035209826	2220687	50	0.0026109037	2220687	180	0.0024627515	2220687
all_samples_bin.17	3978	0.025218043	2439999	550	0.0039868867	2439999	919	0.006367216	2439999	1332	0.023257796	2439999	4748	0.023457797	2439999	4043	0.015987711	2439999	784	0.0058840187	2439999	5328	0.009253282	2439999	4520	0.010276234	2439999	1115	0.0075643472	2439999	2728	0.015829515	2439999	1162	0.00585574	2439999	362	0.0036196737	2439999	10824	0.022190172	2439999	2260	0.010045496	2439999	7356	0.024287306	2439999	7619	0.01962214	2439999	6874	0.012963939	2439999	8665	0.026433617	2439999	5141	0.026221322	2439999	12615	0.04144469	2439999	16086	0.017081155	2439999	1201	0.026310667	2439999	12972	0.017209843	2439999	1845	0.030542227	2439999	149638	0.9835131	2439999	141793	0.984184	2439999	19415	0.030470913	2439999	1316	0.008346724	2439999	5071	0.015135662	2439999	2434	0.010124184	2439999	1494	0.011080332	2439999
all_samples_bin.180	10	0.00066676224	1799742	1495	0.06517323	1799742	15	0.00097013905	1799742	1806	0.0844271	1799742	22255	0.688082	1799742	3983	0.1399984	1799742	487	0.02209261	1799742	541	0.025092486	1799742	128	0.0064603705	1799742	174	0.009117974	1799742	1865	0.080492094	1799742	7648	0.3240709	1799742	544	0.029827053	1799742	322	0.01726414	1799742	155	0.0078077856	1799742	4074	0.1726303	1799742	12814	0.47764957	1799742	499	0.02515694	1799742	478	0.023452805	1799742	2988	0.14109245	1799742	248	0.011578882	1799742	58771	0.9312751	1799742	260	0.009856968	1799742	1632	0.07101685	1799742	21240	0.606218	1799742	227	0.008105606	1799742	121	0.0063181277	1799742	612	0.026527135	1799742	193	0.009359119	1799742	236	0.009891974	1799742	175	0.011479423	1799742	844	0.03468108	1799742
all_samples_bin.181	3571	0.036199268	2633313	4606	0.022995748	2633313	48734	0.17355628	2633313	1130	0.011223504	2633313	956	0.006628532	2633313	1102	0.0072581572	2633313	1330	0.038148142	2633313	7547	0.10207104	2633313	16024	0.401926	2633313	2452	0.021959031	2633313	380	0.004592694	2633313	637205	0.99406374	2633313	390	0.007869175	2633313	2545	0.06416176	2633313	22893	0.036763955	2633313	452867	0.9869047	2633313	361	0.0028815411	2633313	5240	0.0507509	2633313	24375	0.022911442	2633313	547	0.006159921	2633313	9376	0.020280536	2633313	2123	0.078904025	2633313	27383	0.026629573	2633313	2493	0.07875744	2633313	22144	0.022192957	2633313	815	0.009979065	2633313	5103	0.1506737	2633313	1247	0.0026609066	2633313	285	0.0027805278	2633313	1464	0.039271444	2633313	535	0.00734512	2633313	7789	0.015157712	2633313
all_samples_bin.182	2043	0.04975124	1739836	879	0.023567164	1739836	1160	0.025965666	1739836	1167	0.033583626	1739836	17295	0.06500613	1739836	12245	0.10668247	1739836	1932	0.02540182	1739836	1958	0.014831858	1739836	2035	0.0268054	1739836	753	0.028002065	1739836	1063	0.011614313	1739836	719	0.018006295	1739836	467	0.014353077	1739836	75424	0.90953	1739836	1093	0.017850533	1739836	11649	0.36394235	1739836	3125	0.014593329	1739836	4065	0.031947263	1739836	26899	0.06905478	1739836	9700	0.053602178	1739836	4400	0.04574052	1739836	81133	0.06476588	1739836	365	0.016529145	1739836	42399	0.07291837	1739836	4490	0.043636296	1739836	101467	0.95902777	1739836	25491	0.055650648	1739836	54726	0.07187516	1739836	392	0.012491982	1739836	13829	0.04862125	1739836	7520	0.041110773	1739836	699	0.020700801	1739836
all_samples_bin.183	10	0.00030825278	3574988	5	0.00012223817	3574988	615	0.021563988	3574988	18	0.00038713418	3574988	231	0.002028818	3574988	17	0.0004772044	3574988	26	0.0004427987	3574988	15	0.00040811326	3574988	1442	0.03416543	3574988	12	0.00029566532	3574988	26	0.0004520295	3574988	2	0.00008391636	3574988	9	0.00024643439	3574988	36	0.00060503697	3574988	507	0.017003413	3574988	32	0.00035972148	3574988	1	0.00004111902	3574988	5233	0.026915615	3574988	12	0.00035524595	3574988	998	0.0014886763	3574988	10	0.00017202855	3574988	685	0.021956438	3574988	12	0.00021818255	3574988	289	0.00663219	3574988	263	0.0050688284	3574988	1069	0.027247643	3574988	128	0.0022486788	3574988	92	0.0010772065	3574988	613	0.020234752	3574988	969	0.028277857	3574988	333550	0.99608415	3574988	179	0.0024537146	3574988
all_samples_bin.184	569	0.042978276	1079336	2903	0.18131796	1079336	360	0.03233377	1079336	45131	0.9569652	1079336	70800	0.9916338	1079336	19978	0.7560185	1079336	22028	0.76136905	1079336	543	0.039401077	1079336	5121	0.33249515	1079336	6280	0.39722848	1079336	12039	0.5610218	1079336	349	0.029700669	1079336	22933	0.85645527	1079336	3895	0.20464434	1079336	565	0.042542823	1079336	5952	0.35534903	1079336	13494	0.61103404	1079336	53997	0.9625937	1079336	6160	0.3630408	1079336	2638	0.186435	1079336	4593	0.29379824	1079336	20271	0.77996475	1079336	2386	0.14954287	1079336	17275	0.66948754	1079336	16080	0.65692705	1079336	29194	0.8143498	1079336	30048	0.90601164	1079336	352	0.024636444	1079336	6643	0.33640406	1079336	3427	0.24445678	1079336	877	0.06728859	1079336	2585	0.15741993	1079336
all_samples_bin.185	5570	0.18143198	2083657	2031	0.06982099	2083657	4293	0.19263583	2083657	5126	0.17664759	2083657	9239	0.32266107	2083657	13054	0.3728493	2083657	8662	0.25093573	2083657	4585	0.12941237	2083657	1862	0.040324297	2083657	5666	0.22792043	2083657	966	0.018878346	2083657	686	0.022569453	2083657	695	0.02715514	2083657	8364	0.22100422	2083657	946	0.023933882	2083657	2115	0.034451928	2083657	3097	0.07775128	2083657	10414	0.29502457	2083657	18822	0.45832977	2083657	31151	0.71704894	2083657	44494	0.77060235	2083657	34377	0.70389515	2083657	516	0.01666973	2083657	84974	0.94110405	2083657	3899	0.12672335	2083657	34067	0.6453341	2083657	12925	0.4088936	2083657	121195	0.9612086	2083657	4600	0.16977794	2083657	132920	0.9771076	2083657	88220	0.957421	2083657	8200	0.2244597	2083657
all_samples_bin.186	494	0.0050995504	3905050	549	0.0033827992	3905050	467796	0.9970666	3905050	291	0.0060173366	3905050	70	0.0014737328	3905050	643	0.021419443	3905050	99	0.002438381	3905050	1912	0.021090383	3905050	1015	0.022499328	3905050	5353	0.0911868	3905050	358	0.007675446	3905050	4266	0.032134544	3905050	474	0.015106081	3905050	422	0.01009206	3905050	2295	0.006598635	3905050	37197	0.5299978	3905050	68	0.0019994623	3905050	1205	0.026496971	3905050	5684	0.06177027	3905050	16	0.00043379725	3905050	1351	0.011737365	3905050	122	0.0035863817	3905050	4618	0.025622463	3905050	666	0.021413298	3905050	1858	0.0038762628	3905050	692	0.015786482	3905050	5942	0.13515243	3905050	52	0.0014422351	3905050	67	0.001806379	3905050	698	0.022935942	3905050	1701	0.048578892	3905050	1823	0.022628136	3905050
all_samples_bin.187	120	0.004450987	2141098	21	0.00079772156	2141098	8	0.0002975109	2141098	77	0.0032894337	2141098	520	0.0058778254	2141098	343	0.0038634383	2141098	158	0.0024006374	2141098	37	0.0011129803	2141098	40	0.0010784187	2141098	36	0.001417497	2141098	159	0.008581111	2141098	7	0.00023632734	2141098	13	0.0006851625	2141098	189	0.0024791018	2141098	36	0.0009812722	2141098	73	0.0012175996	2141098	272	0.014300606	2141098	244	0.0026593832	2141098	145	0.0037265925	2141098	1709	0.019945841	2141098	471	0.019860838	2141098	151	0.0017565753	2141098	395	0.022931226	2141098	161	0.0020307337	2141098	401	0.017205192	2141098	24617	0.5519738	2141098	128166	0.99530846	2141098	98	0.0032712189	2141098	1583	0.044465035	2141098	1780	0.0065667243	2141098	489	0.004532721	2141098	68	0.0012764479	2141098
all_samples_bin.188	21579	0.47734043	2497685	3102	0.085114814	2497685	1990	0.07374188	2497685	1464	0.020007728	2497685	24217	0.33061135	2497685	26168	0.51354474	2497685	14468	0.29713514	2497685	8645	0.20899953	2497685	1475	0.026452094	2497685	342	0.0094399415	2497685	740	0.026678704	2497685	479	0.01435129	2497685	2912	0.08775326	2497685	9741	0.19084673	2497685	4852	0.12225761	2497685	1570	0.03643814	2497685	7508	0.19571924	2497685	14043	0.32910874	2497685	7465	0.17682254	2497685	116568	0.93620574	2497685	82129	0.90361995	2497685	5018	0.07944517	2497685	1606	0.06413459	2497685	13159	0.28805274	2497685	16465	0.33265403	2497685	40079	0.5601311	2497685	327925	0.9889766	2497685	20721	0.039948992	2497685	42545	0.65123385	2497685	142623	0.9687947	2497685	71446	0.7673386	2497685	2869	0.010585803	2497685
all_samples_bin.189	18659	0.37444186	2130782	1842	0.037918475	2130782	1664	0.04898812	2130782	4189	0.04648012	2130782	12804	0.09840519	2130782	16032	0.17847392	2130782	3501	0.06445803	2130782	14827	0.039688244	2130782	14042	0.07002781	2130782	2240	0.06967207	2130782	6698	0.031271618	2130782	3546	0.0599043	2130782	1051	0.014948972	2130782	302941	0.9805236	2130782	4798	0.033164818	2130782	463621	0.99048567	2130782	10964	0.040349036	2130782	21017	0.047854263	2130782	22231	0.08797756	2130782	8246	0.07855754	2130782	31615	0.08010815	2130782	34682	0.09284197	2130782	2560	0.06495456	2130782	23862	0.12049614	2130782	1942	0.049310066	2130782	174013	0.9762233	2130782	94151	0.9319926	2130782	29097	0.09312543	2130782	4384	0.026936589	2130782	10039	0.08971589	2130782	3724	0.032317713	2130782	14912	0.3571116	2130782
all_samples_bin.18	1748	0.016891612	2314344	193	0.005559675	2314344	324	0.007742583	2314344	3956	0.025983606	2314344	17634	0.36758795	2314344	3440	0.012810109	2314344	1435	0.03218536	2314344	2194	0.03448018	2314344	1404	0.053766854	2314344	5443	0.15605588	2314344	2087	0.030401703	2314344	451	0.021724515	2314344	654	0.013859651	2314344	1475	0.021310575	2314344	48123	0.8002415	2314344	259208	0.99557155	2314344	1218	0.023664158	2314344	6811	0.029108465	2314344	3198	0.08935491	2314344	2324	0.020900955	2314344	2530	0.025147947	2314344	4359	0.044867143	2314344	594	0.020543186	2314344	8278	0.14961518	2314344	2729	0.026122738	2314344	10713	0.20216614	2314344	67276	0.9055884	2314344	9172	0.029205684	2314344	5769	0.028198056	2314344	4011	0.045405522	2314344	3132	0.027869236	2314344	3179	0.113035485	2314344
all_samples_bin.190	14620	0.41543	2093840	10101	0.32278112	2093840	2593	0.12899888	2093840	38199	0.74242824	2093840	186543	0.99579144	2093840	139665	0.9860104	2093840	39679	0.70474964	2093840	2939	0.09796307	2093840	6843	0.22212155	2093840	308	0.013141883	2093840	1002	0.044794254	2093840	885	0.03323893	2093840	4013	0.14522217	2093840	32933	0.5901841	2093840	6533	0.20683959	2093840	2559	0.08279047	2093840	6171	0.20260145	2093840	31415	0.6800725	2093840	25454	0.5690626	2093840	428178	0.99705946	2093840	28896	0.6568902	2093840	77111	0.91776115	2093840	650	0.023135006	2093840	13494	0.382534	2093840	63127	0.8362544	2093840	89773	0.89248985	2093840	14931	0.08353886	2093840	36203	0.69253045	2093840	16772	0.42475116	2093840	216487	0.9973637	2093840	519916	0.99843544	2093840	6269	0.081523895	2093840
all_samples_bin.191	5223	0.2526711	1713160	25004	0.6796808	1713160	4718	0.26311728	1713160	19754	0.6410149	1713160	52977	0.9274061	1713160	867376	0.9960675	1713160	13854	0.47786313	1713160	4873	0.21988139	1713160	1614	0.09059808	1713160	3053	0.1643997	1713160	455329	0.99015856	1713160	2273	0.1284807	1713160	2965	0.16412127	1713160	7071	0.30371943	1713160	10280	0.4201067	1713160	2460	0.14006923	1713160	10508	0.40860632	1713160	8147	0.32146326	1713160	8993	0.36352998	1713160	216679	0.9896875	1713160	93079	0.97293013	1713160	247006	0.9954756	1713160	3189	0.13648462	1713160	450071	0.99813384	1713160	46950	0.84988034	1713160	115857	0.9794059	1713160	12208	0.48398983	1713160	175375	0.9908643	1713160	8614	0.36145544	1713160	434315	0.99779236	1713160	4118	0.20881529	1713160	8288	0.34779122	1713160
