sample,bacterial_archaeal_bases,metagenome_size,read_fraction,average_bacterial_archaeal_genome_size,warning,bioproject,Gbp,library_strategy,library_selection,model,sample_name,taxon_name,lower_bound,upper_bound,size_range,smf
ERR599071,28240440095,36873000000.0,76.59%,1955032,,PRJEB1787,36.873,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001013,marine metagenome,0.22,3.0,0.22-3.0,76.59
ERR599034,4621334143,5830000000.0,79.27%,2005979,,PRJEB1787,5.831,WGS,RANDOM,Illumina HiSeq 2000,TARA_B000000460,marine metagenome,0.22,3.0,0.22-3.0,79.27
ERR599135,3422397080,7981000000.0,42.88%,1987305,,PRJEB1787,7.982,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000459,marine metagenome,0.22,3.0,0.22-3.0,42.88
ERR599264,2472055795,28352000000.0,8.72%,3721574,,PRJEB4352,28.353,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000001017,marine metagenome,20.0,180.0,20.0-180.0,8.72
ERR599291,70039292,32411000000.0,0.22%,3330447,,PRJEB4352,32.412,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000001362,marine metagenome,180.0,2000.0,180.0-2000.0,0.22
ERR599318,3916761462,34508000000.0,11.35%,3112271,,PRJEB4352,34.509,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000807,marine metagenome,0.8,5.0,0.8-5.0,11.35
ERR599106,24710248438,32466000000.0,76.11%,1692483,,PRJEB1787,32.466,WGS,RANDOM,Illumina HiSeq 2000,TARA_A100001403,marine metagenome,0.22,1.6,0.22-1.6,76.11
ERR598965,28564475214,33510000000.0,85.24%,1986266,,PRJEB1787,33.511,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001059,marine metagenome,0.22,3.0,0.22-3.0,85.24
ERR599110,19257089174,26202000000.0,73.49%,1726540,,PRJEB1787,26.202,WGS,RANDOM,Illumina HiSeq 2000,TARA_B000000441,marine metagenome,0.22,3.0,0.22-3.0,73.49
ERR599148,14527127990,35457000000.0,40.97%,2165035,,PRJEB1787,35.457,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000519,marine metagenome,0.22,3.0,0.22-3.0,40.97
ERR599001,27419228899,38443000000.0,71.32%,1649498,,PRJEB1787,38.444,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100002029,marine metagenome,0.22,3.0,0.22-3.0,71.32
ERR599096,8031025951,9780000000.0,82.12%,1973501,,PRJEB1787,9.78,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000678,marine metagenome,0.22,3.0,0.22-3.0,82.12
ERR599018,3517530216,4814000000.0,73.07%,1753129,,PRJEB1787,4.815,WGS,RANDOM,Illumina HiSeq 2000,TARA_B000000441,marine metagenome,0.22,3.0,0.22-3.0,73.07
ERR599255,55537336,32853000000.0,0.17%,3335576,,PRJEB4352,32.854,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000750,marine metagenome,180.0,2000.0,180.0-2000.0,0.17
ERR594324,457275375,12664000000.0,3.61%,2468023,,PRJEB1788,12.664,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000401,marine metagenome,0.1,0.22,0.1-0.22,3.61
ERR599056,4443004202,6648000000.0,66.83%,1812916,,PRJEB1787,6.648,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000482,marine metagenome,0.22,3.0,0.22-3.0,66.83
ERR598943,5702558417,7278000000.0,78.35%,1634805,,PRJEB1787,7.278,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000900,marine metagenome,0.22,3.0,0.22-3.0,78.35
ERR599083,8340377327,10109000000.0,82.50%,1970318,,PRJEB1787,10.11,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000678,marine metagenome,0.22,3.0,0.22-3.0,82.5
ERR599095,32776751965,40585000000.0,80.76%,1587726,,PRJEB1787,40.585,WGS,RANDOM,Illumina HiSeq 2000,TARA_X000000368,marine metagenome,0.22,1.6,0.22-1.6,80.76
ERR598968,26280169184,33618000000.0,78.17%,1690924,,PRJEB1787,33.619,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001540,marine metagenome,0.22,3.0,0.22-3.0,78.17
ERR599334,3964762334,34871000000.0,11.37%,3103362,,PRJEB4352,34.872,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000807,marine metagenome,0.8,5.0,0.8-5.0,11.37
ERR599166,27383435255,35012000000.0,78.21%,1973958,,PRJEB1787,35.012,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001146,marine metagenome,0.22,3.0,0.22-3.0,78.21
ERR599031,4672797562,5809000000.0,80.44%,2074743,,PRJEB1787,5.81,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000315,marine metagenome,0.22,1.6,0.22-1.6,80.44
ERR599089,8331153489,9329000000.0,89.30%,1808314,,PRJEB1787,9.33,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000676,marine metagenome,0.22,3.0,0.22-3.0,89.3
ERR594291,1054614752,18924000000.0,5.57%,1913307,,PRJEB1788,18.924,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000361,marine metagenome,0.1,0.22,0.1-0.22,5.57
ERR599246,11741094361,35744000000.0,32.85%,3538649,,PRJEB4352,35.745,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000001504,marine metagenome,0.8,3.0,0.8-3.0,32.85
ERR599276,4655092838,20169000000.0,23.08%,2499996,,PRJEB4352,20.169,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000831,marine metagenome,0.8,5.0,0.8-5.0,23.08
ERR599323,4751065304,26744000000.0,17.76%,2936382,,PRJEB4352,26.744,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000961,marine metagenome,0.8,5.0,0.8-5.0,17.76
ERR594341,1483652683,20296000000.0,7.31%,2583276,,PRJEB1788,20.297,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000593,marine metagenome,0.1,0.22,0.1-0.22,7.31
ERR594346,5883212718,18568000000.0,31.68%,1901042,,PRJEB1788,18.568,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000034,marine metagenome,0.1,0.22,0.1-0.22,31.68
ERR599259,123625820,22764000000.0,0.54%,3552466,,PRJEB4352,22.764,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000711,marine metagenome,180.0,2000.0,180.0-2000.0,0.54
ERR599146,13808473373,19230000000.0,71.81%,1604888,,PRJEB1787,19.231,WGS,RANDOM,Illumina HiSeq 2000,TARA_B000000437,marine metagenome,0.22,3.0,0.22-3.0,71.81
ERR598993,29395574212,35650000000.0,82.46%,1576100,,PRJEB1787,35.65,WGS,RANDOM,Illumina HiSeq 2000,TARA_A100000164,marine metagenome,0.22,1.6,0.22-1.6,82.46
ERR599283,386946077,28031000000.0,1.38%,3424302,,PRJEB4352,28.031,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000001442,marine metagenome,20.0,180.0,20.0-180.0,1.38
ERR599143,10870120762,16330000000.0,66.57%,1608970,,PRJEB1787,16.33,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000034,marine metagenome,0.22,1.6,0.22-1.6,66.57
ERR599245,477636456,28271000000.0,1.69%,3543297,,PRJEB4352,28.272,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000001514,marine metagenome,180.0,2000.0,180.0-2000.0,1.69
ERR599169,7562959165,8893000000.0,85.04%,1633507,,PRJEB1787,8.894,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000963,marine metagenome,0.22,3.0,0.22-3.0,85.04
ERR599138,36231791926,42621000000.0,85.01%,1543838,,PRJEB1787,42.621,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000242,marine metagenome,0.22,1.6,0.22-1.6,85.01
ERR599284,5585840327,43850000000.0,12.74%,2521539,,PRJEB4352,43.851,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000728,marine metagenome,0.8,5.0,0.8-5.0,12.74
ERR599097,27503158107,32976000000.0,83.40%,1926157,,PRJEB1787,32.977,WGS,RANDOM,Illumina HiSeq 2000,TARA_A100001037,marine metagenome,0.22,1.6,0.22-1.6,83.4
ERR594329,28847303890,35243000000.0,81.85%,1632239,,PRJEB1788,35.243,WGS,RANDOM,Illumina HiSeq 2000,TARA_X000001036,marine metagenome,0.22,1.6,0.22-1.6,81.85
ERR594288,20466030360,28820000000.0,71.01%,1610819,,PRJEB1788,28.82,WGS,RANDOM,Illumina HiSeq 2000,TARA_X000000950,marine metagenome,0.22,1.6,0.22-1.6,71.01
ERR599115,31947465782,42860000000.0,74.54%,1935245,,PRJEB1787,42.86,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001105,marine metagenome,0.22,3.0,0.22-3.0,74.54
ERR599042,6170826843,7938000000.0,77.74%,1703533,,PRJEB1787,7.938,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001029,marine metagenome,0.22,3.0,0.22-3.0,77.74
ERR598958,26700487231,33529000000.0,79.63%,1958729,,PRJEB1787,33.53,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001750,marine metagenome,0.22,3.0,0.22-3.0,79.63
ERR599150,35238526721,45732000000.0,77.05%,1601183,,PRJEB1787,45.732,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000401,marine metagenome,0.22,3.0,0.22-3.0,77.05
ERR599070,8176670769,9618000000.0,85.01%,2106315,,PRJEB1787,9.619,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001964,marine metagenome,0.22,3.0,0.22-3.0,85.01
ERR594339,33751156939,37554000000.0,89.87%,1534294,,PRJEB1788,37.554,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000590,marine metagenome,0.22,0.45,0.22-0.45,89.87
ERR598967,30823720958,37390000000.0,82.44%,1526758,,PRJEB1787,37.391,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000989,marine metagenome,0.22,3.0,0.22-3.0,82.44
ERR594336,35116965280,40978000000.0,85.70%,1497945,,PRJEB1788,40.979,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000996,marine metagenome,0.22,0.45,0.22-0.45,85.7
ERR598962,3499767039,4733000000.0,73.94%,1720709,,PRJEB1787,4.734,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000902,marine metagenome,0.22,3.0,0.22-3.0,73.94
ERR599131,4636290599,5798000000.0,79.96%,1996104,,PRJEB1787,5.799,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000470,marine metagenome,0.22,3.0,0.22-3.0,79.96
ERR599302,4266576138,29285000000.0,14.57%,2734880,,PRJEB4352,29.285,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000756,marine metagenome,0.8,5.0,0.8-5.0,14.57
ERR599332,267910983,23765000000.0,1.13%,3475752,,PRJEB4352,23.766,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000863,marine metagenome,5.0,20.0,5.0-20.0,1.13
ERR599316,2033914779,17899000000.0,11.36%,3112913,,PRJEB4352,17.9,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000807,marine metagenome,0.8,5.0,0.8-5.0,11.36
ERR598955,28029537570,34361000000.0,81.57%,1594084,,PRJEB1787,34.362,WGS,RANDOM,Illumina HiSeq 2000,TARA_X000000263,marine metagenome,0.22,1.6,0.22-1.6,81.57
ERR599282,811494791,32142000000.0,2.52%,3255616,,PRJEB4352,32.143,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000928,marine metagenome,5.0,20.0,5.0-20.0,2.52
ERR599301,329859111,22434000000.0,1.47%,3352227,,PRJEB4352,22.435,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000793,marine metagenome,20.0,180.0,20.0-180.0,1.47
ERR594321,29312624842,33835000000.0,86.63%,1501361,,PRJEB1788,33.835,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000817,marine metagenome,0.22,0.45,0.22-0.45,86.63
ERR599092,27393033546,33728000000.0,81.22%,1611361,,PRJEB1787,33.728,WGS,RANDOM,Illumina HiSeq 2000,TARA_S200000501,marine metagenome,0.22,1.6,0.22-1.6,81.22
ERR599277,182761004,27061000000.0,0.68%,3827456,,PRJEB4352,27.061,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000790,marine metagenome,180.0,2000.0,180.0-2000.0,0.68
ERR598945,4192014020,6712000000.0,62.46%,1899589,,PRJEB1787,6.712,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000780,marine metagenome,0.22,3.0,0.22-3.0,62.46
ERR599244,187640295,31275000000.0,0.60%,3285019,,PRJEB4352,31.275,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000925,marine metagenome,180.0,2000.0,180.0-2000.0,0.6
ERR594317,10251638705,14296000000.0,71.71%,1606470,,PRJEB1788,14.296,WGS,RANDOM,Illumina HiSeq 2000,TARA_X000000950,marine metagenome,0.22,1.6,0.22-1.6,71.71
ERR599172,6651776846,8052000000.0,82.61%,2050613,,PRJEB1787,8.053,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000097,marine metagenome,0.22,1.6,0.22-1.6,82.61
ERR599296,284764504,28887000000.0,0.99%,3472738,,PRJEB4352,28.888,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000593,marine metagenome,20.0,180.0,20.0-180.0,0.99
ERR599315,3979273443,35594000000.0,11.18%,3106623,,PRJEB4352,35.595,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000807,marine metagenome,0.8,5.0,0.8-5.0,11.18
ERR594348,24357035241,28829000000.0,84.49%,1785485,,PRJEB1788,28.83,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000746,marine metagenome,0.45,0.8,0.45-0.8,84.49
ERR599124,4540893933,6032000000.0,75.28%,1987932,,PRJEB1787,6.032,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000745,marine metagenome,0.22,3.0,0.22-3.0,75.28
ERR598972,5745395785,8122000000.0,70.74%,1804663,,PRJEB1787,8.122,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000405,marine metagenome,0.22,3.0,0.22-3.0,70.74
ERR599080,7765793234,9124000000.0,85.11%,1678844,,PRJEB1787,9.124,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000674,marine metagenome,0.22,3.0,0.22-3.0,85.11
ERR599120,7218463328,8806000000.0,81.97%,1559363,,PRJEB1787,8.807,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001027,marine metagenome,0.22,3.0,0.22-3.0,81.97
ERR599051,6849780238,8641000000.0,79.27%,2194619,,PRJEB1787,8.641,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100002003,marine metagenome,0.22,3.0,0.22-3.0,79.27
ERR594338,29599970128,33180000000.0,89.21%,2453155,,PRJEB1788,33.181,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100001934,marine metagenome,0.45,0.8,0.45-0.8,89.21
ERR594320,637012141,17828000000.0,3.57%,1781952,,PRJEB1788,17.828,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000356,marine metagenome,0.1,0.22,0.1-0.22,3.57
ERR598947,24552091301,31291000000.0,78.46%,1927414,,PRJEB1787,31.291,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000470,marine metagenome,0.22,3.0,0.22-3.0,78.46
ERR599057,23266257913,32202000000.0,72.25%,1613115,,PRJEB1787,32.203,WGS,RANDOM,Illumina HiSeq 2000,TARA_B000000609,marine metagenome,0.22,3.0,0.22-3.0,72.25
ERR599254,1753370223,29619000000.0,5.92%,2906347,,PRJEB4352,29.62,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000001438,marine metagenome,0.8,5.0,0.8-5.0,5.92
ERR599073,5656072675,6883000000.0,82.17%,1633178,,PRJEB1787,6.883,WGS,RANDOM,Illumina HiSeq 2000,TARA_S200000501,marine metagenome,0.22,1.6,0.22-1.6,82.17
ERR599261,2333865093,24572000000.0,9.50%,2871707,,PRJEB4352,24.572,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000805,marine metagenome,0.8,5.0,0.8-5.0,9.5
ERR594286,25972974266,31922000000.0,81.36%,1801919,,PRJEB1788,31.923,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100000813,marine metagenome,0.45,0.8,0.45-0.8,81.36
ERR599063,4117768945,4861000000.0,84.71%,1637961,,PRJEB1787,4.861,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000963,marine metagenome,0.22,3.0,0.22-3.0,84.71
ERR599040,2402807273,6127000000.0,39.22%,2219478,,PRJEB1787,6.127,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000519,marine metagenome,0.22,3.0,0.22-3.0,39.22
ERR598984,17076071019,34547000000.0,49.43%,1688398,,PRJEB1787,34.548,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000424,marine metagenome,0.22,3.0,0.22-3.0,49.43
ERR599333,200201351,18360000000.0,1.09%,3233748,,PRJEB4352,18.36,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000876,marine metagenome,20.0,180.0,20.0-180.0,1.09
ERR599132,20643481415,25067000000.0,82.35%,1840964,,PRJEB1787,25.068,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000953,marine metagenome,0.22,3.0,0.22-3.0,82.35
ERR599235,3833023224,33648000000.0,11.39%,3105926,,PRJEB4352,33.648,WGS,RANDOM,Illumina HiSeq 2000,TARA_N000000807,marine metagenome,0.8,5.0,0.8-5.0,11.39
ERR594319,19672765504,32559000000.0,60.42%,4105104,,PRJEB1788,32.56,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100001956,marine metagenome,0.45,0.8,0.45-0.8,60.42
ERR599048,5942385331,8945000000.0,66.43%,1902440,,PRJEB1787,8.945,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000508,marine metagenome,0.22,3.0,0.22-3.0,66.43
ERR599044,25866820430,32774000000.0,78.92%,2443925,,PRJEB1787,32.774,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000446,marine metagenome,0.22,3.0,0.22-3.0,78.92
ERR599152,8024171579,10041000000.0,79.91%,2139192,,PRJEB1787,10.042,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100001971,marine metagenome,0.22,3.0,0.22-3.0,79.91
ERR599008,20644728647,32263000000.0,63.99%,2267914,,PRJEB1787,32.264,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000809,marine metagenome,0.22,3.0,0.22-3.0,63.99
ERR599068,5847961025,7648000000.0,76.46%,1615856,,PRJEB1787,7.648,WGS,RANDOM,Illumina HiSeq 2000,TARA_B000000475,marine metagenome,0.22,3.0,0.22-3.0,76.46
ERR594311,27527138036,29947000000.0,91.92%,1505228,,PRJEB1788,29.948,WGS,RANDOM,Illumina HiSeq 2000,TARA_Y100001935,marine metagenome,0.22,0.45,0.22-0.45,91.92
ERR599109,6567313251,7746000000.0,84.78%,2021794,,PRJEB1787,7.746,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000071,marine metagenome,0.22,1.6,0.22-1.6,84.78
ERR599041,6094667737,9673000000.0,63.01%,1612248,,PRJEB1787,9.673,WGS,RANDOM,Illumina HiSeq 2000,TARA_A100001035,marine metagenome,0.22,1.6,0.22-1.6,63.01
ERR599055,3923595847,4658000000.0,84.23%,1870749,,PRJEB1787,4.658,WGS,RANDOM,Illumina HiSeq 2000,TARA_B100000953,marine metagenome,0.22,3.0,0.22-3.0,84.23
SRR2053275,213095732,614000000.0,34.71%,2467528,,PRJNA273799,0.615,WGS,RANDOM,Illumina HiSeq 2500,LMO_120604,marine metagenome,0.22,3.0,0.22-3.0,34.71
SRR2053307,507098601,895000000.0,56.66%,2346918,,PRJNA273799,0.895,WGS,RANDOM,Illumina HiSeq 2500,LMO_120516,marine metagenome,0.22,3.0,0.22-3.0,56.66
SRR2053297,1199950012,2631000000.0,45.61%,1818492,,PRJNA273799,2.632,WGS,RANDOM,Illumina HiSeq 2500,LMO_121022,marine metagenome,0.22,3.0,0.22-3.0,45.61
SRR2053301,1243331398,2624000000.0,47.38%,1838513,,PRJNA273799,2.624,WGS,RANDOM,Illumina HiSeq 2500,LMO_121128,marine metagenome,0.22,3.0,0.22-3.0,47.38
SRR2053295,580206015,1919000000.0,30.23%,2294937,,PRJNA273799,1.92,WGS,RANDOM,Illumina HiSeq 2500,LMO_120403,marine metagenome,0.22,3.0,0.22-3.0,30.23
SRR2053274,982178134,2687000000.0,36.55%,2059030,,PRJNA273799,2.688,WGS,RANDOM,Illumina HiSeq 2500,LMO_120531,marine metagenome,0.22,3.0,0.22-3.0,36.55
SRR2053294,617695250,1137000000.0,54.33%,2011906,,PRJNA273799,1.137,WGS,RANDOM,Illumina HiSeq 2500,LMO_121004,marine metagenome,0.22,3.0,0.22-3.0,54.33
SRR2053292,2399774380,6321000000.0,37.97%,2067399,,PRJNA273799,6.321,WGS,RANDOM,Illumina HiSeq 2500,LMO_120924,marine metagenome,0.22,3.0,0.22-3.0,37.97
SRR2053279,1338290836,2548000000.0,52.52%,1590571,,PRJNA273799,2.549,WGS,RANDOM,Illumina HiSeq 2500,LMO_120705,marine metagenome,0.22,3.0,0.22-3.0,52.52
SRR2053288,1120606811,2026000000.0,55.31%,1645314,,PRJNA273799,2.026,WGS,RANDOM,Illumina HiSeq 2500,LMO_120828,marine metagenome,0.22,3.0,0.22-3.0,55.31
SRR2032810,3055830423,5578000000.0,54.78%,2289080,,PRJNA273799,5.578,WGS,RANDOM,Illumina HiSeq 2500,LMO_120322,marine metagenome,0.22,3.0,0.22-3.0,54.78
SRR2053305,248502709,626000000.0,39.70%,2500279,,PRJNA273799,0.627,WGS,RANDOM,Illumina HiSeq 2500,LMO_120423,marine metagenome,0.22,3.0,0.22-3.0,39.7
SRR2053290,2359633339,4730000000.0,49.89%,2429631,,PRJNA273799,4.73,WGS,RANDOM,Illumina HiSeq 2500,LMO_120910,marine metagenome,0.22,3.0,0.22-3.0,49.89
SRR2053298,605130390,1828000000.0,33.10%,2096561,,PRJNA273799,1.828,WGS,RANDOM,Illumina HiSeq 2500,LMO_121028,marine metagenome,0.22,3.0,0.22-3.0,33.1
SRR2053281,264795205,535000000.0,49.49%,1929994,,PRJNA273799,0.536,WGS,RANDOM,Illumina HiSeq 2500,LMO_120717,marine metagenome,0.22,3.0,0.22-3.0,49.49
SRR2053282,798586224,2257000000.0,35.38%,1992133,,PRJNA273799,2.258,WGS,RANDOM,Illumina HiSeq 2500,LMO_120802,marine metagenome,0.22,3.0,0.22-3.0,35.38
SRR2053284,569391820,2229000000.0,25.54%,2667815,,PRJNA273799,2.229,WGS,RANDOM,Illumina HiSeq 2500,LMO_120328,marine metagenome,0.22,3.0,0.22-3.0,25.54
SRR2053308,369337002,735000000.0,50.25%,2005196,,PRJNA273799,0.735,WGS,RANDOM,Illumina HiSeq 2500,LMO_120521,marine metagenome,0.22,3.0,0.22-3.0,50.25
SRR2053283,481411165,1418000000.0,33.95%,2279949,,PRJNA273799,1.418,WGS,RANDOM,Illumina HiSeq 2500,LMO_120806,marine metagenome,0.22,3.0,0.22-3.0,33.95
SRR2053304,1250169597,2353000000.0,53.13%,2583689,,PRJNA273799,2.354,WGS,RANDOM,Illumina HiSeq 2500,LMO_120419,marine metagenome,0.22,3.0,0.22-3.0,53.13
SRR2053285,1664083433,4566000000.0,36.45%,2042973,,PRJNA273799,4.567,WGS,RANDOM,Illumina HiSeq 2500,LMO_120813,marine metagenome,0.22,3.0,0.22-3.0,36.45
SRR2053273,643267248,1854000000.0,34.70%,2835900,,PRJNA273799,1.854,WGS,RANDOM,Illumina HiSeq 2500,LMO_120314,marine metagenome,0.22,3.0,0.22-3.0,34.7
SRR2053287,2955073797,4819000000.0,61.32%,1772583,,PRJNA273799,4.819,WGS,RANDOM,Illumina HiSeq 2500,LMO_120823,marine metagenome,0.22,3.0,0.22-3.0,61.32
SRR2053289,614734207,1069000000.0,57.51%,1680980,,PRJNA273799,1.07,WGS,RANDOM,Illumina HiSeq 2500,LMO_120903,marine metagenome,0.22,3.0,0.22-3.0,57.51
SRR2053293,2564167440,4068000000.0,63.03%,1797070,,PRJNA273799,4.068,WGS,RANDOM,Illumina HiSeq 2500,LMO_121001,marine metagenome,0.22,3.0,0.22-3.0,63.03
SRR2053296,2506168542,4789000000.0,52.33%,1755081,,PRJNA273799,4.789,WGS,RANDOM,Illumina HiSeq 2500,LMO_121015,marine metagenome,0.22,3.0,0.22-3.0,52.33
SRR2053299,1458817898,2056000000.0,70.95%,2184284,,PRJNA273799,2.057,WGS,RANDOM,Illumina HiSeq 2500,LMO_121105,marine metagenome,0.22,3.0,0.22-3.0,70.95
SRR2053276,1071144484,3040000000.0,35.24%,1928322,,PRJNA273799,3.04,WGS,RANDOM,Illumina HiSeq 2500,LMO_120613,marine metagenome,0.22,3.0,0.22-3.0,35.24
SRR2053277,2618589360,5329000000.0,49.14%,1680328,,PRJNA273799,5.329,WGS,RANDOM,Illumina HiSeq 2500,LMO_120619,marine metagenome,0.22,3.0,0.22-3.0,49.14
SRR2053302,3407340367,6026000000.0,56.54%,2004259,,PRJNA273799,6.026,WGS,RANDOM,Illumina HiSeq 2500,LMO_121220,marine metagenome,0.22,3.0,0.22-3.0,56.54
SRR2053280,451529783,1142000000.0,39.54%,2123847,,PRJNA273799,1.143,WGS,RANDOM,Illumina HiSeq 2500,LMO_120709,marine metagenome,0.22,3.0,0.22-3.0,39.54
SRR2053306,2922458597,4591000000.0,63.66%,1730627,,PRJNA273799,4.592,WGS,RANDOM,Illumina HiSeq 2500,LMO_120507,marine metagenome,0.22,3.0,0.22-3.0,63.66
SRR2053303,848103089,1510000000.0,56.17%,2171950,,PRJNA273799,1.511,WGS,RANDOM,Illumina HiSeq 2500,LMO_120416,marine metagenome,0.22,3.0,0.22-3.0,56.17
SRR2053286,1801184176,2847000000.0,63.27%,1721776,,PRJNA273799,2.848,WGS,RANDOM,Illumina HiSeq 2500,LMO_120820,marine metagenome,0.22,3.0,0.22-3.0,63.27
SRR2053291,3263942133,5976000000.0,54.62%,1823574,,PRJNA273799,5.977,WGS,RANDOM,Illumina HiSeq 2500,LMO_120920,marine metagenome,0.22,3.0,0.22-3.0,54.62
SRR2053278,673568155,1536000000.0,43.85%,1931323,,PRJNA273799,1.537,WGS,RANDOM,Illumina HiSeq 2500,LMO_120628,marine metagenome,0.22,3.0,0.22-3.0,43.85
ERR2098382,1999711471,16487000000.0,12.13%,2740682,,PRJEB87662,16.488,WGS,RANDOM,Illumina HiSeq 4000,EMOSE_N010000369,marine metagenome,3.0,20.0,3.0-20.0,12.13
ERR2098410,3479264030,23977000000.0,14.51%,2083516,,PRJEB87662,23.977,WGS,RANDOM,Illumina HiSeq 4000,EMOSE_N020000685,marine metagenome,3.0,20.0,3.0-20.0,14.51
ERR2098380,8863734230,13208000000.0,67.11%,1940699,,PRJEB87662,13.208,WGS,RANDOM,Illumina HiSeq 4000,EMOSE_N010000401,marine metagenome,0.22,3.0,0.22-3.0,67.11
ERR2098381,6810404021,15356000000.0,44.35%,1815043,,PRJEB87662,15.356,WGS,RANDOM,Illumina HiSeq 4000,EMOSE_N010000995,marine metagenome,0.22,3.0,0.22-3.0,44.35
ERR2098388,14078189356,19761000000.0,71.24%,1762439,,PRJEB87662,19.762,WGS,RANDOM,Illumina HiSeq 4000,EMOSE_N010000372,marine metagenome,0.22,3.0,0.22-3.0,71.24
ERR2098408,12471041242,18707000000.0,66.67%,1704931,,PRJEB87662,18.707,WGS,RANDOM,Illumina HiSeq 4000,EMOSE_N020000684,marine metagenome,0.22,3.0,0.22-3.0,66.67
ERR2098405,5940927453,16127000000.0,36.84%,1878661,,PRJEB87662,16.127,WGS,RANDOM,Illumina HiSeq 4000,EMOSE_N010000347,marine metagenome,3.0,20.0,3.0-20.0,36.84
