acc,bioproject,organism,bacterial_archaeal_bases,metagenome_size,read_fraction,average_bacterial_archaeal_genome_size,warning,smf,bioproject_right,Gbp,library_strategy,library_selection,model,sample_name,taxon_name,id,run_id,collection_year,collection_month,latitude,longitude,depth,temperature,host_or_not_prediction,host_or_not_recorded,host_or_not_mature,tropical,Fungi to Bacteria Ratio
SRR10011732,PRJNA554847,soil metagenome,399893063,1590000000.0,25.15%,4497223,,25.15,PRJNA554847,1.591,WGS,RANDOM,NextSeq 500,P12_0202_SM,soil metagenome,75463,75463,2017,1,9.18,-79.83,,,ecological,ecological,ecological,true,0.35393600100979217
SRR10011725,PRJNA554847,soil metagenome,443621769,1620000000.0,27.38%,4323378,,27.38,PRJNA554847,1.621,WGS,RANDOM,NextSeq 500,P14_0404_SM,soil metagenome,75468,75468,2017,1,9.16,-79.86,,,ecological,ecological,ecological,true,0.31542326664152626
ERR2078425,PRJEB22068,soil metagenome,931373200,1128000000.0,82.57%,4541290,,82.57,PRJEB22068,1.129,WGS,RANDOM,unspecified,STER_004-M-7-21-20131217,soil metagenome,75860,75860,2013,12,40.4631,-103.03305,,,ecological,ecological,ecological,false,0.02510417922998832
ERR2078430,PRJEB22068,soil metagenome,1460766399,1949000000.0,74.95%,4343253,,74.95,PRJEB22068,1.949,WGS,RANDOM,unspecified,STER_005-M-20130627-C,soil metagenome,75861,75861,2013,6,40.460659,-103.033324,,,ecological,ecological,ecological,false,0.039747243681256504
SRR6201956,PRJNA366728,soil metagenome,2074376612,3053000000.0,67.95%,4469869,,67.95,PRJNA366728,3.053,WGS,RANDOM,Illumina HiSeq 2000,HOTW,soil metagenome,76783,76783,2011,8,40.81667,-104.76667,,,ecological,ecological,ecological,false,0.05609310711370263
SRR6201989,PRJNA366757,soil metagenome,10107890217,15011000000.0,67.34%,4827880,,67.34,PRJNA366757,15.012,WGS,RANDOM,Illumina HiSeq 2000,NGPT,soil metagenome,76785,76785,2012,12,31.11,-95.15,,,ecological,ecological,ecological,false,0.057678504676602446
SRR7027364,PRJNA443214,soil metagenome,5436404837,9250000000.0,58.77%,4347003,,58.77,PRJNA443214,9.25,WGS,RANDOM,Illumina HiSeq 2500,BWTTH,soil metagenome,76791,76791,2016,8,38.9765,-107.0043,,,ecological,ecological,ecological,false,0.0834312150451634
SRR7026200,PRJNA443183,soil metagenome,4946786347,11388000000.0,43.44%,4410080,,43.44,PRJNA443183,11.389,WGS,RANDOM,Illumina HiSeq 2500,BWTPG,soil metagenome,76798,76798,2016,8,38.9866,-107.0007,,,ecological,ecological,ecological,false,0.15484261908113756
SRR5713101,PRJNA375152,soil metagenome,19028707634,27172000000.0,70.03%,4636704,,70.03,PRJNA375152,27.173,WGS,RANDOM,Illumina HiSeq 2500,AUBXS,soil metagenome,76801,76801,2015,4,39.7291,-123.6419,,,ecological,ecological,ecological,false,0.05089481510483984
SRR7026263,PRJNA443189,soil metagenome,6595379741,10956000000.0,60.20%,4233208,,60.2,PRJNA443189,10.956,WGS,RANDOM,Illumina HiSeq 2500,BWTPT,soil metagenome,76803,76803,2016,8,38.9223,-106.954,,,ecological,ecological,ecological,false,0.07862442913085789
SRR6958124,PRJNA444969,soil metagenome,42933929652,55852000000.0,76.87%,4532941,,76.87,PRJNA444969,55.852,WGS,RANDOM,Illumina HiSeq 2500,BUNTS,soil metagenome,76810,76810,2012,5,38.0262,-109.5407,,,ecological,ecological,ecological,false,0.035784065166787456
SRR4027031,PRJNA337680,soil metagenome,4127583793,7191000000.0,57.40%,4024006,,57.4,PRJNA337680,7.191,WGS,RANDOM,Illumina Genome Analyzer II,GPCY,soil metagenome,76818,76818,2009,6,43.312222,-89.370833,,,ecological,ecological,ecological,false,0.08826095678508733
SRR11671582,PRJNA621422,soil metagenome,17839544051,21511000000.0,82.93%,4262398,,82.93,PRJNA621422,21.512,WGS,RANDOM,Illumina NovaSeq 6000,GNHAS,soil metagenome,76823,76823,2018,2,57.1866,-2.2146,,,ecological,ecological,ecological,false,0.02447894970962293
SRR8552839,PRJNA518554,soil metagenome,14911135388,18346000000.0,81.28%,4494758,,81.28,PRJNA518554,18.347,WGS,RANDOM,Illumina NovaSeq 6000,CTZBT,soil metagenome,76824,76824,2017,3,38.9206,-106.9489,,,ecological,ecological,ecological,false,0.027390065689682892
SRR4027590,PRJNA336855,soil metagenome,4146559787,6505000000.0,63.74%,4265130,,63.74,PRJNA336855,6.506,WGS,RANDOM,Illumina Genome Analyzer II,GPIC,soil metagenome,76825,76825,2009,6,39.0042816,-77.1012173,,,ecological,ecological,ecological,false,0.06765293851480157
SRR8554501,PRJNA518248,soil metagenome,54386388234,58791000000.0,92.51%,3412107,,92.51,PRJNA518248,58.791,WGS,RANDOM,Illumina NovaSeq 6000,CWAHS,soil metagenome,76827,76827,2017,8,63.0472,21.7116,,,ecological,ecological,ecological,false,0.009628620305680803
SRR5277367,PRJNA365730,soil metagenome,12687645879,20372000000.0,62.28%,4879245,,62.28,PRJNA365730,20.372,WGS,RANDOM,Illumina HiSeq 2500,YBAS,soil metagenome,76832,76832,,,51.62,-128.09,,,ecological,ecological,ecological,false,0.07202678078184788
SRR3984697,PRJNA330141,soil metagenome,2055611689,2993000000.0,68.68%,4543190,,68.68,PRJNA330141,2.994,WGS,RANDOM,Illumina HiSeq 2000,HOYC,soil metagenome,76834,76834,2011,9,39.05,-99.1,,,ecological,ecological,ecological,false,0.05423284544694343
SRR7015918,PRJNA443180,soil metagenome,5580970995,10560000000.0,52.85%,4371815,,52.85,PRJNA443180,10.56,WGS,RANDOM,Illumina HiSeq 2500,BWTPA,soil metagenome,76842,76842,2016,8,38.987,-107.0038,,,ecological,ecological,ecological,false,0.10609810565500205
SRR12681507,PRJNA654767,soil metagenome,48138162304,63173000000.0,76.20%,4228815,,76.2,PRJNA654767,63.174,WGS,RANDOM,Illumina NovaSeq 6000,GPBAT,soil metagenome,76846,76846,2018,4,42.0127,-93.7445,,,ecological,ecological,ecological,false,0.0371443625877181
SRR7687007,PRJNA468340,soil metagenome,8990256616,11934000000.0,75.33%,4667378,,75.33,PRJNA468340,11.934,WGS,RANDOM,Illumina HiSeq 2500,CHTPS,soil metagenome,76848,76848,2017,6,40.4449,-87.0297,,,ecological,ecological,ecological,false,0.03894682923872899
SRR3981190,PRJNA330021,soil metagenome,6811129786,10124000000.0,67.28%,5002960,,67.28,PRJNA330021,10.124,WGS,RANDOM,Illumina HiSeq 2000,GNZU,soil metagenome,76850,76850,2011,9,38.88,-120.64,,,ecological,ecological,ecological,false,0.0578359983381281
SRR9032074,PRJNA539708,soil metagenome,29784131371,38331000000.0,77.70%,4543692,,77.7,PRJNA539708,38.331,WGS,RANDOM,Illumina NovaSeq 6000,CXZOA,soil metagenome,76856,76856,2018,3,39.6475,-79.9369,,,ecological,ecological,ecological,false,0.03413145234894274
SRR7027366,PRJNA443212,soil metagenome,4256232944,8919000000.0,47.72%,4251514,,47.72,PRJNA443212,8.919,WGS,RANDOM,Illumina HiSeq 2500,BWTTC,soil metagenome,76857,76857,2016,8,38.9763,-107.0041,,,ecological,ecological,ecological,false,0.13028849524691102
SRR12844116,PRJNA669350,soil metagenome,10184552879,14644000000.0,69.55%,3681026,,69.55,PRJNA669350,14.645,WGS,RANDOM,Illumina HiSeq 4000,S144,soil metagenome,76904,76904,2015,10,28.15,116.55,,,ecological,ecological,ecological,false,0.05206682398169289
SRR6517655,PRJNA431914,soil metagenome,15025153760,17577000000.0,85.48%,4699693,,85.48,PRJNA431914,17.577,WGS,RANDOM,Illumina HiSeq 4000,Z1,soil metagenome,77055,77055,2017,9,37.45,104.95,,,ecological,ecological,ecological,false,0.02020100737690541
SRR3591640,PRJNA295070,soil metagenome,490649838,644000000.0,76.19%,5864808,,76.19,PRJNA295070,0.645,WGS,RANDOM,Illumina HiSeq 2500,CD6,soil metagenome,77119,77119,2016,1,42.3261,-71.1493,,,host,ecological,ecological,false,0.037164846739229915
SRR13298161,PRJNA308326,soil metagenome,7722967217,11714000000.0,65.93%,2632510,,65.93,PRJNA308326,11.715,WGS,RANDOM,Illumina NovaSeq 6000,CT_2,soil metagenome,77245,77245,2018,1,35.016,-96.033,,,ecological,ecological,ecological,false,0.061455390439760324
SRR12087333,PRJNA488994,soil metagenome,3732118927,4627000000.0,80.66%,5136910,,80.66,PRJNA488994,4.627,WGS,RANDOM,NextSeq 500,KMCG6A_L2,soil metagenome,77351,77351,2016,6,46.06,14.28,,,host,ecological,ecological,false,0.028514724270785385
DRR160703,PRJDB7705,soil metagenome,3872593438,4723000000.0,81.99%,4178366,,81.99,PRJDB7705,4.723,WGS,RANDOM,Illumina HiSeq 2500,,soil metagenome,77354,77354,2015,5,32.889,130.766,,,ecological,ecological,ecological,false,0.0261230421262718
SRR7042381,PRJNA449266,soil metagenome,68373541490,84340000000.0,81.07%,4336472,,81.07,PRJNA449266,84.341,WGS,RANDOM,Illumina HiSeq 2500,14_0903_13_30cm,soil metagenome,77359,77359,2014,9,39.74,-123.63,,,ecological,ecological,ecological,false,0.02776907192168993
SRR10586136,PRJNA593573,soil metagenome,3078444527,4114000000.0,74.83%,4435352,,74.83,PRJNA593573,4.114,WGS,RANDOM,Illumina HiSeq 2500,BYBSR2,soil metagenome,77368,77368,2018,10,1.42,103.7,,,ecological,ecological,ecological,true,0.04000169504802723
SRR9179562,PRJNA544697,soil metagenome,7478291772,20976000000.0,35.65%,1618149,,35.65,PRJNA544697,20.977,WGS,RANDOM,NextSeq 500,ZOFE18-PEG_0.45,soil metagenome,77369,77369,2018,9,47.426944,8.518333,,,ecological,ecological,ecological,false,0.2146643577474726
SRR9656164,PRJNA552615,soil metagenome,31296370524,43550000000.0,71.86%,4646529,,71.86,PRJNA552615,43.551,WGS,RANDOM,Illumina HiSeq 2500,t.PP_WK1712,soil metagenome,77370,77370,2017,1,-38.22184031,175.97088911,,,ecological,ecological,ecological,true,0.04657016799544931
SRR13614393,PRJNA697905,soil metagenome,9286035208,11971000000.0,77.57%,4332082,,77.57,PRJNA697905,11.972,WGS,RANDOM,HiSeq X Ten,SS_1_22,soil metagenome,77371,77371,2019,8,37.3,116.65,,,ecological,ecological,ecological,false,0.034387959493674895
SRR12030760,PRJNA638758,soil metagenome,14175844829,19096000000.0,74.23%,5054858,,74.23,PRJNA638758,19.097,WGS,RANDOM,Illumina NovaSeq 6000,HS23B,soil metagenome,77377,77377,2018,9,24.087978,121.028934,,,ecological,ecological,ecological,false,0.041286292241848085
ERR2210122,PRJEB23737,soil metagenome,2048458561,3739000000.0,54.79%,4508349,,54.79,PRJEB23737,3.74,WGS,RANDOM,Illumina HiSeq 2500,F8,soil metagenome,77694,77694,2011,10,42.67255,-77.040283,,,ecological,ecological,ecological,false,0.09813052694966269
ERR4837107,PRJEB41174,soil metagenome,1475818906,1742000000.0,84.72%,4136264,,84.72,PRJEB41174,1.742,WGS,RANDOM,Illumina MiSeq,SV3,soil metagenome,77719,77719,2013,1,78.89637401,12.05637203,,,ecological,ecological,ecological,false,0.021449063329689773
ERR4837118,PRJEB41174,soil metagenome,3049726810,3786000000.0,80.55%,4219382,,80.55,PRJEB41174,3.787,WGS,RANDOM,Illumina MiSeq,SV14,soil metagenome,77720,77720,2013,1,78.90046396,12.07252798,,,ecological,ecological,ecological,false,0.028716068806175568
SRR12915252,PRJNA671703,soil metagenome,642075294,1601000000.0,40.10%,3936214,,40.1,PRJNA671703,1.601,WGS,RANDOM,NextSeq 500,SoilDepth12in_025,soil metagenome,77906,77906,2015,8,44.677,-90.177,,,ecological,ecological,ecological,false,0.17764515780729762
ERR2603221,PRJEB24121,soil metagenome,930609494,1489000000.0,62.50%,4420738,,62.5,PRJEB24121,1.489,WGS,RANDOM,Illumina HiSeq 4000,FO194,soil metagenome,77966,77966,2015,1,58.756195,26.510963,,,ecological,ecological,ecological,false,0.0713546326685072
SRR17012562,PRJNA782751,soil metagenome,3516059779,4732000000.0,74.30%,4294844,,74.3,PRJNA782751,4.732,WGS,RANDOM,Illumina HiSeq 2500,VirginSoil_Aug2019_4,soil metagenome,78220,78220,2019,8,46.97,-118.62,,,ecological,ecological,ecological,false,0.041135353512351626
SRR11805817,PRJNA629832,soil metagenome,742870937,1204000000.0,61.70%,4165943,,61.7,PRJNA629832,1.205,WGS,RANDOM,Illumina HiSeq 2500,103_S1_R1,soil metagenome,78231,78231,2018,7,35.06,-93.56,,,ecological,ecological,ecological,false,0.07382178366298828
SRR10363843,PRJNA557318,soil metagenome,13507588937,16480000000.0,81.96%,4672386,,81.96,PRJNA557318,16.48,WGS,RANDOM,HiSeq X Ten,B5_1,soil metagenome,78233,78233,2018,12,22.48,113.57,,,ecological,ecological,ecological,true,0.026176134157716587
SRR11051946,PRJNA605576,soil metagenome,6132016797,7537000000.0,81.36%,4559154,,81.36,PRJNA605576,7.537,WGS,RANDOM,Illumina HiSeq 2500,TZ_4,soil metagenome,78247,78247,2017,1,28.68,121.43,,,ecological,ecological,ecological,false,0.027246197003871157
SRR11051966,PRJNA605576,soil metagenome,4972837960,6728000000.0,73.91%,4875092,,73.91,PRJNA605576,6.728,WGS,RANDOM,Illumina HiSeq 2500,TZ_12,soil metagenome,78248,78248,2017,1,28.68,121.43,,,ecological,ecological,ecological,false,0.04197993880668726
SRR5512132,PRJNA385547,soil metagenome,9453334665,13341000000.0,70.86%,4230058,,70.86,PRJNA385547,13.341,WGS,RANDOM,Illumina HiSeq 2500,H02,soil metagenome,78252,78252,2014,7,46.40667,130.2125,,,ecological,ecological,ecological,false,0.04890568247154718
SRR12455962,PRJNA657304,soil metagenome,771259582,1265000000.0,60.97%,4141658,,60.97,PRJNA657304,1.265,WGS,RANDOM,Illumina HiSeq 4000,F7,soil metagenome,78273,78273,,,38.6,-90.2,,,ecological,ecological,ecological,false,0.07612955314230595
SRR9691042,PRJNA554750,soil metagenome,9394328515,12232000000.0,76.80%,4003447,,76.8,PRJNA554750,12.232,WGS,RANDOM,Illumina NovaSeq 6000,W10,soil metagenome,78276,78276,2013,6,30.88,105.39,,,ecological,ecological,ecological,false,0.0359250754754637
SRR10861768,PRJNA600336,soil metagenome,4618717466,6000000000.0,76.98%,4177264,,76.98,PRJNA600336,6.0,WGS,RANDOM,Illumina NovaSeq 6000,plasmidome,soil metagenome,78278,78278,2019,1,30.83,120.72,,,ecological,ecological,ecological,false,0.0355629956704996
SRR9691050,PRJNA554750,soil metagenome,11233316193,14052000000.0,79.94%,4221908,,79.94,PRJNA554750,14.053,WGS,RANDOM,Illumina NovaSeq 6000,W128,soil metagenome,78279,78279,2013,8,38.56,106.19,,,ecological,ecological,ecological,false,0.029842672240227137
SRR9697545,PRJNA554694,soil metagenome,662238253,1098000000.0,60.31%,3837060,,60.31,PRJNA554694,1.099,WGS,RANDOM,NextSeq 500,SHB25A_metagnm,soil metagenome,78282,78282,2018,7,29.85,-92.97,,,ecological,ecological,ecological,false,0.0782641179078387
SRR13298154,PRJNA308326,soil metagenome,7668321005,13227000000.0,57.97%,2339736,,57.97,PRJNA308326,13.227,WGS,RANDOM,Illumina NovaSeq 6000,M2_7_5,soil metagenome,78314,78314,2018,1,35.473,-98.955,,,ecological,ecological,ecological,false,0.08622377123389564
SRR15377960,PRJNA714922,soil metagenome,25360175749,75815000000.0,33.45%,5418899,,33.45,PRJNA714922,75.815,WGS,RANDOM,Illumina NovaSeq 6000,Novaseq_root_tip_reads_Stand_31_Tree_1,soil metagenome,78317,78317,2018,8,44.271933,-85.992533,,,ecological,ecological,ecological,false,0.23660442471794488
SRR12756247,PRJNA666429,soil metagenome,3615338496,4785000000.0,75.56%,5062578,,75.56,PRJNA666429,4.785,WGS,RANDOM,Illumina HiSeq 4000,S107121.MG.015.UM2304,soil metagenome,78328,78328,2017,8,68.38,-149.43,,,ecological,ecological,ecological,false,0.03846627894870116
SRR9733659,PRJNA555481,soil metagenome,672782864,1017000000.0,66.15%,4282513,,66.15,PRJNA555481,1.018,WGS,RANDOM,Illumina MiSeq,MC1,soil metagenome,78330,78330,2018,4,46.03,15.04,,,ecological,ecological,ecological,false,0.06085548792715969
ERR1700720,PRJEB8420,soil metagenome,8711563192,14172000000.0,61.47%,4929223,,61.47,PRJEB8420,14.173,WGS,RANDOM,Illumina HiSeq 2500,JW-OM0C0-M3,soil metagenome,78334,78334,2011,7,46.42,-83.37,0.2,,ecological,ecological,ecological,false,0.07454297480390387
ERR1877733,PRJEB18701,soil metagenome,294555857,549000000.0,53.65%,5205087,,53.65,PRJEB18701,0.549,WGS,RANDOM,Illumina HiSeq 2500,S114,soil metagenome,78402,78402,,,49.01738,13.47508,,,ecological,ecological,ecological,false,0.10274269102781328
ERR1877750,PRJEB18701,soil metagenome,597637184,1116000000.0,53.55%,5230960,,53.55,PRJEB18701,1.116,WGS,RANDOM,Illumina HiSeq 2500,S097,soil metagenome,78404,78404,,,2.982,102.313,,,ecological,ecological,ecological,true,0.10315663515257267
ERR1877727,PRJEB18701,soil metagenome,339588378,553000000.0,61.41%,5001302,,61.41,PRJEB18701,0.553,WGS,RANDOM,Illumina HiSeq 2500,G2840,soil metagenome,78406,78406,,,68.06356,24.03387,,,ecological,ecological,ecological,false,0.07473200007267256
SRR3401951,PRJNA317648,soil metagenome,3322966774,4087000000.0,81.31%,5487700,,81.31,PRJNA317648,4.088,WGS,RANDOM,Illumina HiSeq 2500,CO.W6.10_wgs,soil metagenome,78410,78410,2014,1,45.41,-73.25,,,ecological,ecological,ecological,false,0.027336081756536696
SRR10011746,PRJNA554847,soil metagenome,343828383,1385000000.0,24.83%,4338528,,24.83,PRJNA554847,1.386,WGS,RANDOM,NextSeq 500,LP_0404_SM,soil metagenome,78689,78689,2017,1,9.12,-79.9,,,ecological,ecological,ecological,true,0.3600300535435419
ERR2078438,PRJEB22068,soil metagenome,2118269520,2951000000.0,71.78%,5099963,,71.78,PRJEB22068,2.952,WGS,RANDOM,unspecified,OSBS_087-M-1-21-20130726,soil metagenome,79080,79080,2013,7,29.68408,-81.9593,,,ecological,ecological,ecological,false,0.046754614421502576
ERR2078439,PRJEB22068,soil metagenome,1681873427,2207000000.0,76.21%,4203843,,76.21,PRJEB22068,2.208,WGS,RANDOM,unspecified,CPER_001-M-38-38-20131024,soil metagenome,79081,79081,2013,10,40.85117,-104.70109,,,ecological,ecological,ecological,false,0.03712388381191854
SRR3989297,PRJNA330010,soil metagenome,36310830518,50558000000.0,71.82%,3032564,,71.82,PRJNA330010,50.559,WGS,RANDOM,Illumina HiSeq 2000,CZCY,soil metagenome,80022,80022,2011,7,39.53,-107.78,,,ecological,ecological,ecological,false,0.046662339844948796
SRR7142640,PRJNA465154,soil metagenome,5465488840,5609000000.0,97.44%,4129135,,97.44,PRJNA465154,5.609,WGS,RANDOM,Illumina HiSeq 2500,BNOCO,soil metagenome,80037,80037,2016,6,37.83,-122.29,,,ecological,ecological,ecological,false,0.0031244502536839584
SRR6474949,PRJNA405197,soil metagenome,2563597182,2623000000.0,97.74%,4299462,,97.74,PRJNA405197,2.623,WGS,RANDOM,Illumina HiSeq 2500,BNGWY,soil metagenome,80040,80040,2015,1,43.073,-89.4011,,,ecological,ecological,ecological,false,0.0027498374911470356
SRR6266849,PRJNA406084,soil metagenome,23648569832,33393000000.0,70.82%,4793739,,70.82,PRJNA406084,33.394,WGS,RANDOM,Illumina HiSeq 2500,BGZAA,soil metagenome,80042,80042,2015,4,39.7291,-123.6419,,,ecological,ecological,ecological,false,0.04900047494274313
SRR5271163,PRJNA365850,soil metagenome,9144172693,14588000000.0,62.68%,4940046,,62.68,PRJNA365850,14.589,WGS,RANDOM,Illumina HiSeq 2500,YBAG,soil metagenome,80043,80043,,,51.62,-128.09,,,ecological,ecological,ecological,false,0.07080820280761244
SRR11674058,PRJNA621443,soil metagenome,16289462662,19085000000.0,85.35%,4526775,,85.35,PRJNA621443,19.086,WGS,RANDOM,Illumina NovaSeq 6000,GNHBS,soil metagenome,80064,80064,2018,2,57.1866,-2.2146,,,ecological,ecological,ecological,false,0.020412914832916053
SRR8552915,PRJNA518569,soil metagenome,15468348723,19273000000.0,80.26%,3950310,,80.26,PRJNA518569,19.273,WGS,RANDOM,Illumina NovaSeq 6000,CTZCS,soil metagenome,80083,80083,2017,5,38.9206,-106.9489,,,ecological,ecological,ecological,false,0.029249531706876223
SRR6201870,PRJNA366498,soil metagenome,1943513062,2874000000.0,67.62%,4952888,,67.62,PRJNA366498,2.874,WGS,RANDOM,Illumina HiSeq 2000,HOTO,soil metagenome,80087,80087,2011,8,35.913,-79.056,,,ecological,ecological,ecological,false,0.056947229759594375
SRR12917171,PRJNA653695,soil metagenome,10880616425,14492000000.0,75.08%,4718169,,75.08,PRJNA653695,14.492,WGS,RANDOM,Illumina NovaSeq 6000,GTBHH,soil metagenome,80088,80088,2017,8,41.896,-89.3636,,,ecological,ecological,ecological,false,0.039472505907014725
SRR11615275,PRJNA620825,soil metagenome,31384493075,40868000000.0,76.79%,4780993,,76.79,PRJNA620825,40.868,WGS,RANDOM,Illumina NovaSeq 6000,GOHHT,soil metagenome,80092,80092,2017,12,26.6539,-80.6288,,,ecological,ecological,ecological,false,0.03594524079168407
SRR10127270,PRJNA404246,soil metagenome,20668003396,25284000000.0,81.74%,4614145,,81.74,PRJNA404246,25.284,WGS,RANDOM,Illumina HiSeq 2500,BPOHG,soil metagenome,80096,80096,2012,5,21.766,-100.163,,,ecological,ecological,ecological,true,0.026566666514292115
SRR5468416,PRJNA365336,soil metagenome,6131687278,7391000000.0,82.96%,3581677,,82.96,PRJNA365336,7.392,WGS,RANDOM,Illumina HiSeq 2500,AUSTB,soil metagenome,80097,80097,2014,7,37.4971,-122.133,,,ecological,ecological,ecological,false,0.024427092186422448
SRR7495874,PRJNA465239,soil metagenome,14888595621,22881000000.0,65.07%,5312517,,65.07,PRJNA465239,22.881,WGS,RANDOM,Illumina HiSeq 2500,BXTYN,soil metagenome,80100,80100,2016,8,39.7291,-123.6419,,,ecological,ecological,ecological,false,0.0638393862791598
SRR15910697,PRJNA763731,soil metagenome,5487078755,7091000000.0,77.38%,4766730,,77.38,PRJNA763731,7.091,WGS,RANDOM,Illumina HiSeq 4000,SDCD_4,soil metagenome,80276,80276,2020,6,31.41,121.67,,,ecological,ecological,ecological,false,0.03476440490569556
SRR11802907,PRJNA633324,soil metagenome,9008226742,11425000000.0,78.85%,4349573,,78.85,PRJNA633324,11.425,WGS,RANDOM,HiSeq X Ten,metagenome of the soil from DYHP,soil metagenome,80353,80353,2018,8,39.88,116.74,,,ecological,ecological,ecological,false,0.03189918581566112
SRR8936428,PRJNA528368,soil metagenome,7513382466,10160000000.0,73.95%,4925419,,73.95,PRJNA528368,10.16,WGS,RANDOM,HiSeq X Ten,Metagenome of Mikania micrantha_lib31,soil metagenome,80354,80354,2018,9,23.14,113.34,,,ecological,ecological,ecological,true,0.04189290468818148
SRR8936442,PRJNA528368,soil metagenome,6272258749,8297000000.0,75.60%,4549962,,75.6,PRJNA528368,8.298,WGS,RANDOM,HiSeq X Ten,Metagenome of Mikania micrantha_lib60,soil metagenome,80358,80358,2018,9,23.14,113.34,,,ecological,ecological,ecological,true,0.038383003463659096
SRR8921833,PRJNA532820,soil metagenome,423320493,549000000.0,77.11%,4300289,,77.11,PRJNA532820,0.549,WGS,RANDOM,Illumina MiSeq,CO2_Rhizo,soil metagenome,80428,80428,2016,3,53.71653765,9.76824442,,,ecological,ecological,ecological,false,0.035302544887868624
SRR12277192,PRJNA647119,soil metagenome,4520810134,5712000000.0,79.15%,4610719,,79.15,PRJNA647119,5.713,WGS,RANDOM,Illumina HiSeq 2500,S3,soil metagenome,80441,80441,2016,8,46.49,9.93,,,ecological,ecological,ecological,false,0.031327523502597904
SRR14085593,PRJNA717813,soil metagenome,12988733708,16083000000.0,80.76%,5011221,,80.76,PRJNA717813,16.083,WGS,RANDOM,Illumina NovaSeq 6000,Stagnosol_A,soil metagenome,80501,80501,2019,5,48.579083,9.063333,,,ecological,ecological,ecological,false,0.02833215974372787
DRR184777,PRJDB8545,soil metagenome,12360283679,17079000000.0,72.37%,3995011,,72.37,PRJDB8545,17.079,WGS,RANDOM,Illumina HiSeq 4000,,soil metagenome,80547,80547,2018,6,30.88,121.58,,,ecological,ecological,ecological,false,0.0454039081716838
DRR160708,PRJDB7705,soil metagenome,3586691416,4595000000.0,78.06%,4066959,,78.06,PRJDB7705,4.596,WGS,RANDOM,Illumina HiSeq 2500,,soil metagenome,80549,80549,2015,5,32.889,130.766,,,ecological,ecological,ecological,false,0.03342558375495446
DRR160707,PRJDB7705,soil metagenome,3427918746,4527000000.0,75.72%,4042786,,75.72,PRJDB7705,4.528,WGS,RANDOM,Illumina HiSeq 2500,,soil metagenome,80550,80550,2015,5,32.889,130.766,,,ecological,ecological,ecological,false,0.03813370490384212
SRR7042344,PRJNA449266,soil metagenome,16378518959,20145000000.0,81.30%,4229290,,81.3,PRJNA449266,20.146,WGS,RANDOM,Illumina HiSeq 2500,14_0903_05_40cm,soil metagenome,80556,80556,2014,9,39.74,-123.63,,,ecological,ecological,ecological,false,0.027354071974191988
SRR12030763,PRJNA638758,soil metagenome,17407929557,23043000000.0,75.55%,4743796,,75.55,PRJNA638758,23.044,WGS,RANDOM,Illumina NovaSeq 6000,HS21S,soil metagenome,80567,80567,2018,9,24.087978,121.028934,,,ecological,ecological,ecological,false,0.03848711159816902
ERR4392726,PRJEB39497,soil metagenome,11498624813,15753000000.0,72.99%,4737013,,72.99,PRJEB39497,15.754,WGS,RANDOM,Illumina NovaSeq 6000,B2018_H3_10cm,soil metagenome,80906,80906,2018,1,38.886306,-120.647694,,,ecological,ecological,ecological,false,0.0440080519791839
SRR12915245,PRJNA671703,soil metagenome,654361140,1719000000.0,38.07%,4008829,,38.07,PRJNA671703,1.72,WGS,RANDOM,NextSeq 500,SoilDepth6in_029,soil metagenome,81149,81149,2016,9,44.677,-90.177,,,ecological,ecological,ecological,false,0.19345908419405705
SRR12915178,PRJNA671703,soil metagenome,820014328,2341000000.0,35.03%,3968707,,35.03,PRJNA671703,2.342,WGS,RANDOM,NextSeq 500,SoilDepth6in_039,soil metagenome,81151,81151,2015,8,44.677,-90.177,,,ecological,ecological,ecological,false,0.22056858333204457
ERR2603080,PRJEB24121,soil metagenome,948722412,1570000000.0,60.43%,4527643,,60.43,PRJEB24121,1.571,WGS,RANDOM,Illumina HiSeq 4000,FO47,soil metagenome,81229,81229,2015,1,59.17464,27.79904,,,ecological,ecological,ecological,false,0.07787254715353385
ERR2603060,PRJEB24121,soil metagenome,972489108,1506000000.0,64.57%,4315461,,64.57,PRJEB24121,1.507,WGS,RANDOM,Illumina HiSeq 4000,FO27,soil metagenome,81230,81230,2015,1,58.3611,26.665,,,ecological,ecological,ecological,false,0.06525462380479095
ERR2603092,PRJEB24121,soil metagenome,1064702233,1583000000.0,67.26%,4249291,,67.26,PRJEB24121,1.583,WGS,RANDOM,Illumina HiSeq 4000,FO59,soil metagenome,81231,81231,2015,1,59.51025,26.57118,,,ecological,ecological,ecological,false,0.0578885586670365
ERR2603213,PRJEB24121,soil metagenome,668088248,1098000000.0,60.85%,4278777,,60.85,PRJEB24121,1.099,WGS,RANDOM,Illumina HiSeq 4000,FO186,soil metagenome,81233,81233,2015,1,58.997561,23.739954,,,ecological,ecological,ecological,false,0.07651421169466054
ERR2603251,PRJEB24121,soil metagenome,926021314,1350000000.0,68.59%,4175028,,68.59,PRJEB24121,1.35,WGS,RANDOM,Illumina HiSeq 4000,FO228,soil metagenome,81235,81235,2015,1,58.460278,26.726389,,,ecological,ecological,ecological,false,0.05446005278023546
