Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession
GCA_028829585.1	ASM2882958v1	Penicillium vulpinum		IBT 29486					Annotation submitted by Aalborg University	31511571	Contig	2023-02-23	JAQKAQ01
GCF_028829585.1	ASM2882958v1	Penicillium vulpinum		IBT 29486					Annotation submitted by Aalborg University	31511571	Contig	2023-02-23	JAQKAQ01
GCA_028827385.1	ASM2882738v1	Penicillium freii		IBT 34325					Annotation submitted by Aalborg University	35356366	Contig	2023-02-23	JAQIZX01
GCA_028829835.1	ASM2882983v1	Penicillium mononematosum		IBT 11891					Annotation submitted by Aalborg University	30158902	Contig	2023-02-23	JAQJZX01
GCF_028829835.1	ASM2882983v1	Penicillium mononematosum		IBT 11891					Annotation submitted by Aalborg University	30158902	Contig	2023-02-23	JAQJZX01
GCA_003122705.1	ASM312270v1	Colletotrichum sp. JS-367		JS-367						87196530	Scaffold	2018-05-14	QCWU01
GCA_021399445.1	XylPMI703_1	Xylogone sp. PMI_703		PMI_703					Annotation submitted by DOE Joint Genome Institute	50149085	Contig	2022-01-10	JAJTUQ01
GCA_023065905.1	ASM2306590v1	Trichophyton indotineae		TIMM20114						22261634	Scaffold	2022-04-20	JAJVHL01
GCA_030770045.1	ASM3077004v1	Colletotrichum brevisporum		C1						62659034	Contig	2023-08-17	JAUGSI01
GCA_002197995.1	ASM219799v1	Gaeumannomyces sp. JS-464		JS-464						53151282	Scaffold	2017-06-19	NGZR01
GCA_028828465.1	ASM2882846v1	Penicillium psychrosexuale		IBT 29551					Annotation submitted by Aalborg University	27827857	Contig	2023-02-23	JAQJAT01
GCF_028828465.1	ASM2882846v1	Penicillium psychrosexuale		IBT 29551					Annotation submitted by Aalborg University	27827857	Contig	2023-02-23	JAQJAT01
GCA_030015455.1	ASM3001545v1	Microsporum ferrugineum		M1a						22992211	Contig	2023-05-15	VAAA01
GCA_030412595.1	ASM3041259v1	Pestalotiopsis neglecta		YJ-3						48355658	Contig	2023-06-22	JAQJCZ01
GCA_028827225.1	ASM2882722v1	Penicillium sp. CMV-2018d		IBT 12396					Annotation submitted by Aalborg University	32244276	Contig	2023-02-23	JAPZBW01
GCA_026119605.1	ASM2611960v1	Colletotrichum cliviicola		YN31						52051982	Contig	2022-11-10	JANWGG01
GCA_018092615.1	ASM1809261v1	Pestalotiopsis sp. CR013		cr013						46686446	Contig	2021-04-19	JACFXT01
GCA_022606435.1	ASM2260643v1	Calonectria montana					PCam007			59301110	Contig	2022-03-17	JAIZZI01
GCA_014964245.1	Nbarb_1.0	Nannizziopsis barbatae		USC001						31513234	Contig	2020-10-28	JACVYH01
GCA_022414665.1	ASM2241466v1	Arthrinium puccinioides		CBS 549.89						39650489	Contig	2022-02-28	JAIUNF01
GCA_027406025.1	ASM2740602v1	Colletotrichum musae		GZ23						60479243	Contig	2022-12-27	JANVYC01
GCA_021199905.1	ASM2119990v1	Pestalotiopsis sp. MUOB 440515					MUOB 440515			47674442	Contig	2021-12-15	JAJPQY01
GCA_002554605.1	Helotiales sp. F229 1.0	Helotiales sp. F229		F229						85086475	Contig	2017-10-13	MXAW01
GCA_037177825.1	ASM3717782v1	Diaporthe sp. P3_1W		P3_1W						58489835	Scaffold	2024-03-15	JBAFXB01
GCA_034638275.1	EIMB_Clini_757_1.0	Colletotrichum lini		757						54018360	Contig	2023-12-26	JAWQJV01
GCA_004123355.1	ASM412335v1	Amphirosellinia nigrospora		JS-1675						48177783	Scaffold	2019-01-31	SCHM01
GCA_028974015.1	ASM2897401v1	Penicillium cf. griseofulvum		IBT 16849					Annotation submitted by Aalborg University	29823847	Contig	2023-02-23	JAPQKP01
GCA_005188305.1	ASM518830v1	Xylaria sp. BCC 1067		BCC 1067						54100337	Contig	2019-05-06	SSCS01
GCA_027946515.1	ASM2794651v1	Gnomoniopsis smithogilvyi		IMI 355082					Annotation submitted by Royal Botanic Gardens, Kew	35292834	Scaffold	2023-01-24	JAPEVB01
GCA_028827375.1	ASM2882737v1	Penicillium desertorum		IBT 17660					Annotation submitted by Aalborg University	33986870	Contig	2023-02-23	JAPWDO01
GCA_014595645.1	ASM1459564v1	Diaporthe citri		NFHF-8-4					Annotation submitted by Huazhong Agricultural University	63685968	Contig	2020-09-15	JACTAD01
GCF_014595645.1	ASM1459564v1	Diaporthe citri		NFHF-8-4					Annotation submitted by Huazhong Agricultural University	63685968	Contig	2020-09-15	JACTAD01
GCA_963556695.1	KHLLAP	Anthostomella pinea							Annotation submitted by groningen institute for evolutionary life sciences, university of groningen	53760342	Contig	2023-12-11	CAUWAG01
GCA_016618095.1	ASM1661809v1	Colletotrichum echinochloae		B-48						62246358	Contig	2021-01-12	JADEZT01
GCA_028828445.1	ASM2882844v1	Penicillium paradoxum		IBT 22861					Annotation submitted by Aalborg University	28923777	Contig	2023-02-23	JAQJAS01
GCF_028828445.1	ASM2882844v1	Penicillium paradoxum		IBT 22861					Annotation submitted by Aalborg University	28923777	Contig	2023-02-23	JAQJAS01
GCA_020736525.1	Chame1	Chaetomium sp. MPI-CAGE-AT-0009		MPI-CAGE-AT-0009					Annotation submitted by DOE Joint Genome Institute	33768356	Contig	2021-11-02	JAHBOE01
GCA_030710325.1	ASM3071032v1	Penicillium sp. 91 TS-2023		91 TS-2023						35300634	Contig	2023-08-11	JARWGP01
GCA_027406065.1	ASM2740606v1	Colletotrichum cordylinicola		HN23						61624325	Contig	2022-12-27	JANVYD01
GCA_014805645.1	ASM1480564v1	Spiromastix sp. SCSIO F190		SCSIO F190						38124991	Contig	2020-09-30	WXTY01
GCA_013390185.1	ASM1339018v1	Colletotrichum aenigma		Cg56					Annotation submitted by RIKEN	59189926	Contig	2020-07-06	QPNB01
GCF_013390185.1	ASM1339018v1	Colletotrichum aenigma		Cg56					Annotation submitted by RIKEN	59189926	Contig	2020-07-06	QPNB01
GCA_013364905.1	ASM1336490v1	Diaporthe capsici		GY-Z16						57558510	Contig	2020-06-22	WNXA01
GCA_021188095.1	ASM2118809v1	Diaporthe vexans					PV 4			59767560	Contig	2021-12-14	JAJLLZ01
GCA_028828245.1	ASM2882824v1	Penicillium lividum		IBT 13676					Annotation submitted by Aalborg University	34532832	Contig	2023-02-23	JAQJAG01
GCA_027406105.1	ASM2740610v1	Colletotrichum endophyticum		YN32						61437041	Contig	2022-12-27	JANVYF01
GCA_016807845.1	ASM1680784v1	Colletotrichum eleusines		NJC-16						53507824	Contig	2021-02-04	JADEZO01
GCA_002778095.1	ASM277809v1	Fragosphaeria purpurea		CBS 133.34						34748420	Contig	2017-11-16	PCDL01
GCA_900654225.1	sapFunA	Saprochaete fungicola								20189518	Contig	2019-02-06	CAACAH01
GCA_008477525.1	ASM847752v1	Hypomyces perniciosus		HP10						44006492	Contig	2019-09-17	SPDT01
GCA_031010415.1	ASM3101041v1	Talaromyces nanjingensis		JP-NJ4						42526372	Contig	2023-08-30	JARFPJ01
GCA_020975405.1	ASM2097540v1	Keithomyces neogunnii		Cg7.2a						32607973	Contig	2021-11-24	JAIOWQ01
GCA_028827395.1	ASM2882739v1	Penicillium hordei		IBT 12815					Annotation submitted by Aalborg University	33792161	Contig	2023-02-23	JAQJAE01
GCF_028827395.1	ASM2882739v1	Penicillium hordei		IBT 12815					Annotation submitted by Aalborg University	33792161	Contig	2023-02-23	JAQJAE01
GCA_022457065.1	ASM2245706v1	Curvularia sp. ZM96		ZM96						35541076	Contig	2022-03-03	JAJGBQ01
GCA_028828865.1	ASM2882886v1	Penicillium sp. IBT 16267x		IBT 16267x					Annotation submitted by Aalborg University	33465021	Contig	2023-02-23	JAQJZQ01
GCA_029339225.1	ASM2933922v1	Phyllachora maydis		PM02					Annotation submitted by Michigan State University	64323051	Scaffold	2023-03-22	JAQQPM01
GCA_028828675.1	ASM2882867v1	Penicillium herquei		IBT 29812					Annotation submitted by Aalborg University	37080134	Contig	2023-02-23	JAQJZK01
GCA_028826775.1	ASM2882677v1	Penicillium argentinense		IBT 30761					Annotation submitted by Aalborg University	33838379	Contig	2023-02-23	JAPQKI01
GCF_028826775.1	ASM2882677v1	Penicillium argentinense		IBT 30761					Annotation submitted by Aalborg University	33838379	Contig	2023-02-23	JAPQKI01
GCA_028828555.1	ASM2882855v1	Penicillium taxi		IBT 34144					Annotation submitted by Aalborg University	27925195	Contig	2023-02-23	JAQKAL01
GCF_028828555.1	ASM2882855v1	Penicillium taxi		IBT 34144					Annotation submitted by Aalborg University	27925195	Contig	2023-02-23	JAQKAL01
GCA_023184605.1	ASM2318460v1	Dermatocarpon miniatum					TBG_2326			63481793	Scaffold	2022-04-29	JALILY01
GCA_027406125.1	ASM2740612v1	Colletotrichum tropicale		HN32						56942285	Contig	2022-12-27	JANVYH01
GCA_034401135.1	ASM3440113v1	Volutella citrinella		GUCC2219						45197029	Contig	2023-12-15	JAWZSP01
GCA_004303015.1	ASM430301v1	Cladobotryum protrusum		CCMJ2080						39087229	Contig	2019-02-26	RZGP01
GCA_002939055.1	ASM293905v1	Hypocreales sp. Mo6-1					Mo6-1			24931998	Contig	2018-02-23	PNEP01
GCA_028828045.1	ASM2882804v1	Penicillium odoratum		IBT 22623					Annotation submitted by Aalborg University	32405987	Contig	2023-02-23	JAQJAR01
GCF_028828045.1	ASM2882804v1	Penicillium odoratum		IBT 22623					Annotation submitted by Aalborg University	32405987	Contig	2023-02-23	JAQJAR01
GCA_029532625.1	ASM2953262v1	Lomentospora prolificans		90853						36709960	Contig	2023-04-06	JARFXM01
GCA_028829765.1	ASM2882976v1	Penicillium waksmanii		IBT 27052					Annotation submitted by Aalborg University	37575496	Contig	2023-02-23	JAQKAR01
GCF_028829765.1	ASM2882976v1	Penicillium waksmanii		IBT 27052					Annotation submitted by Aalborg University	37575496	Contig	2023-02-23	JAQKAR01
GCA_023079475.1	ASM2307947v1	Cytospora mali		EGI1						41952590	Contig	2022-04-21	JALDND01
GCA_028826845.1	ASM2882684v1	Penicillium canariense		IBT 26290					Annotation submitted by Aalborg University	31521451	Contig	2023-02-23	JAPQKN01
GCF_028826845.1	ASM2882684v1	Penicillium canariense		IBT 26290					Annotation submitted by Aalborg University	31521451	Contig	2023-02-23	JAPQKN01
GCA_028828085.1	ASM2882808v1	Penicillium nucicola		IBT 29836					Annotation submitted by Aalborg University	31087567	Contig	2023-02-23	JAQJAQ01
GCF_028828085.1	ASM2882808v1	Penicillium nucicola		IBT 29836					Annotation submitted by Aalborg University	31087567	Contig	2023-02-23	JAQJAQ01
GCA_021533815.1	ASM2153381v1	Fusarium sp. C39		C39						43973933	Contig	2022-01-20	JAGFMC01
GCA_028827525.1	ASM2882752v1	Penicillium daleae		IBT 16125					Annotation submitted by Aalborg University	39657045	Contig	2023-02-23	JAPVEA01
GCF_028827525.1	ASM2882752v1	Penicillium daleae		IBT 16125					Annotation submitted by Aalborg University	39657045	Contig	2023-02-23	JAPVEA01
GCA_028827895.1	ASM2882789v1	Penicillium longicatenatum		IBT 33135					Annotation submitted by Aalborg University	32457776	Contig	2023-02-23	JAQJAH01
GCF_028827895.1	ASM2882789v1	Penicillium longicatenatum		IBT 33135					Annotation submitted by Aalborg University	32457776	Contig	2023-02-23	JAQJAH01
GCA_019976485.1	ASM1997648v1	Apiospora pterosperma		CBS 123185						44521400	Contig	2021-09-14	JAFBMP01
GCA_020744335.1	Fusco1	Fusarium sp. MPI-SDFR-AT-0072		MPI-SDFR-AT-0072					Annotation submitted by DOE Joint Genome Institute	48370669	Contig	2021-11-05	JAHBOG01
GCA_027946475.1	ASM2794647v1	Didymosphaeria variabile		IMI 356815					Annotation submitted by Royal Botanic Gardens, Kew	39450705	Contig	2023-01-24	JAPEUX01
GCF_027946475.1	ASM2794647v1	Didymosphaeria variabile		IMI 356815					Annotation submitted by Royal Botanic Gardens, Kew	39450705	Contig	2023-01-24	JAPEUX01
GCA_028828275.1	ASM2882827v1	Penicillium glabrum		IBT 35677					Annotation submitted by Aalborg University	38045409	Contig	2023-02-23	JAQIZY01
GCA_028827025.1	ASM2882702v1	Penicillium cataractarum		IBT 29864					Annotation submitted by Aalborg University	37446941	Contig	2023-02-23	JAPZBS01
GCF_028827025.1	ASM2882702v1	Penicillium cataractarum		IBT 29864					Annotation submitted by Aalborg University	37446941	Contig	2023-02-23	JAPZBS01
GCA_028827535.1	ASM2882753v1	Penicillium sp. DV-2018c		IBT 19332					Annotation submitted by Aalborg University	25359523	Contig	2023-02-23	JAQJAA01
GCA_028828015.1	ASM2882801v1	Penicillium pulvis		IBT 33274					Annotation submitted by Aalborg University	32647626	Contig	2023-02-23	JAQJAU01
GCF_028828015.1	ASM2882801v1	Penicillium pulvis		IBT 33274					Annotation submitted by Aalborg University	32647626	Contig	2023-02-23	JAQJAU01
GCA_004802645.1	ASM480264v1	Amesia nigricolor		F5						31024310	Contig	2019-04-22	SRKS01
GCA_022419385.1	ASM2241938v1	Paraconiothyrium sp. Pb-2020		Pb-2020						39554719	Scaffold	2022-02-28	JAJUBI01
GCA_027406045.1	ASM2740604v1	Colletotrichum liaoningense		YN33						51853301	Contig	2022-12-27	JANVYE01
GCA_025388405.1	ASM2538840v1	Paraconiothyrium brasiliense		GGX 413						39490049	Contig	2022-09-23	JANBXC01
GCA_002914405.1	ByssAF2.0	Byssochlamys sp. AF001		AF001						35878077	Contig	2018-02-02	PNEM01
GCA_023721895.2	ASM2372189v2	Talaromyces albobiverticillius		Tp-2						38354882	Contig	2022-11-16	JAMBUR02
GCA_020881915.1	ASM2088191v1	Paramyrothecium sp. XJ0827		XJ0827						51769651	Contig	2021-11-15	JAJFPB01
GCA_028974045.1	ASM2897404v1	Penicillium cf. viridicatum		IBT 20477					Annotation submitted by Aalborg University	35226502	Contig	2023-02-23	JAPQKQ01
GCA_019192225.1	ASM1919222v1	Fusarium sp. TH15		TH15						46811982	Contig	2021-07-09	JAHREO01
GCA_019976455.1	ASM1997645v1	Aspergillus sp. 'subgen. Cremei'		IBT 35662						32156665	Contig	2021-09-14	JAFBMR01
GCA_017654865.1	FW16	Nectria sp. FW16.1		FW16.1						47436558	Scaffold	2021-03-31	JADNRB01
GCA_029142805.1	NB22_v1	Penicillium sp. WT45		WT45						28758677	Contig	2023-03-10	JARFLS01
GCA_029142755.1	NB21_v1	Penicillium sp. MT45		MT45						28661144	Contig	2023-03-10	JARFLT01
GCA_029142745.1	NB24_v1	Penicillium sp. BM32		BM32						28722057	Contig	2023-03-10	JARFLR01
GCA_022432395.1	Pestal1	Pestalotiopsis sp. NC0098		NC0098					Annotation submitted by DOE Joint Genome Institute	46406735	Contig	2022-03-01	JAJKLJ01
GCA_029490675.1	ASM2949067v1	Cercospora nicotianae		1110						37409360	Contig	2023-03-30	JANQAT01
GCA_028827885.1	ASM2882788v1	Penicillium sp. IBT 31633x		IBT 31633x					Annotation submitted by Aalborg University	30347723	Contig	2023-02-23	JAPWDP01
GCA_029379155.1	ST-P5	Sarocladium terricola		RCEF6201						33965804	Contig	2023-03-23	JAHKSO01
GCA_030864175.1	ASM3086417v1	Neonectria faginata		MES1 34.1.1						42948211	Contig	2023-08-23	JAULBG01
GCA_029931735.1	ASM2993173v1	Dactylonectria alcacerensis		CT-6						61760550	Scaffold	2023-05-03	JAPMUZ01
GCA_028827165.1	ASM2882716v1	Penicillium cosmopolitanum		IBT 29677					Annotation submitted by Aalborg University	40034523	Contig	2023-02-23	JAPZBU01
GCF_028827165.1	ASM2882716v1	Penicillium cosmopolitanum		IBT 29677					Annotation submitted by Aalborg University	40034523	Contig	2023-02-23	JAPZBU01
GCA_017639365.1	ASM1763936v1	Yarrowia sp. E02		E02					Annotation submitted by Fraunhofer Institute for Molecular Biology and Applied Ecology (IME)	25047428	Contig	2021-03-30	JAAQQX01
GCA_954870535.1	F40	Fusarium sp. VM40							Annotation submitted by groningen institute for evolutionary life sciences, university of groningen	42058709	Contig	2023-07-15	CATPAH01
GCA_028828895.1	ASM2882889v1	Penicillium sp. IBT 35674x		IBT 35674x					Annotation submitted by Aalborg University	37375558	Contig	2023-02-23	JAQKAT01
GCA_027943155.1	CBS815.71-sp3	Schizothecium tetrasporum		CBS815.71-sp3						32875300	Contig	2023-01-23	JAQKAE01
GCA_016097105.2	SVAR_v1.1	Sporothrix variecibatus		CBS 121960						38959714	Contig	2021-09-29	JADMNI01
GCA_028829675.1	ASM2882967v1	Penicillium tannophilum		IBT 21756					Annotation submitted by Aalborg University	32107691	Contig	2023-02-23	JAQKAK01
GCA_036872735.1	ASM3687273v1	Orbilia javanica		TWF718					Annotation submitted by Academia Sinica	40706343	Contig	2024-02-26	JAVHNR01
GCA_024472245.1	BJJ-GSMG	Beauveria sp. NWAFU-1		NWAFU-1						34836366	Scaffold	2022-07-28	JANBXD01
GCA_028826855.1	ASM2882685v1	Penicillium coprophilum		IBT 35676					Annotation submitted by Aalborg University	29014640	Contig	2023-02-23	JAPQKM01
GCF_028826855.1	ASM2882685v1	Penicillium coprophilum		IBT 35676					Annotation submitted by Aalborg University	29014640	Contig	2023-02-23	JAPQKM01
GCA_028828005.1	ASM2882800v1	Penicillium manginii		IBT 31320					Annotation submitted by Aalborg University	38623079	Contig	2023-02-23	JAQJAP01
GCF_028828005.1	ASM2882800v1	Penicillium manginii		IBT 31320					Annotation submitted by Aalborg University	38623079	Contig	2023-02-23	JAQJAP01
GCA_028974085.1	ASM2897408v1	Penicillium chermesinum		IBT 19713					Annotation submitted by Aalborg University	27581382	Contig	2023-02-23	JAPQKS01
GCF_028974085.1	ASM2897408v1	Penicillium chermesinum		IBT 19713					Annotation submitted by Aalborg University	27581382	Contig	2023-02-23	JAPQKS01
GCA_019176375.1	ASM1917637v1	Aspergillus sp. GbtcF2		GbtcF2						37875941	Contig	2021-07-08	JAGXKE01
GCA_026119255.1	ASM2611925v1	Aspergillus sp. GBTC2 WXH		GBTC2 WXH						37875941	Contig	2022-11-10	JANZLR01
GCA_911649645.1	wengan_M_CN63	Thelonectria discophora								41609056	Contig	2021-09-14	CAJVRK01
GCA_028974065.1	ASM2897406v1	Penicillium cinerascens		IBT 15544					Annotation submitted by Aalborg University	29467041	Contig	2023-02-23	JAPQKR01
GCF_028974065.1	ASM2897406v1	Penicillium cinerascens		IBT 15544					Annotation submitted by Aalborg University	29467041	Contig	2023-02-23	JAPQKR01
GCA_028829465.1	ASM2882946v1	Penicillium soppii		IBT 18220					Annotation submitted by Aalborg University	32085433	Contig	2023-02-23	JAQKAI01
GCF_028829465.1	ASM2882946v1	Penicillium soppii		IBT 18220					Annotation submitted by Aalborg University	32085433	Contig	2023-02-23	JAQKAI01
GCA_019721355.1	Asp_MEXU27854_1.0	Aspergillus sp. MEXU 27854		MEXU 27854						30756112	Contig	2021-08-23	JAGMTT01
GCA_030035635.1	ASM3003563v1	Penicillium parvum		4-14b						25766470	Contig	2023-05-18	JAPJNL01
GCA_028827735.1	ASM2882773v1	Penicillium macrosclerotiorum		IBT 26536					Annotation submitted by Aalborg University	33645934	Contig	2023-02-23	JAQJAK01
GCF_028827735.1	ASM2882773v1	Penicillium macrosclerotiorum		IBT 26536					Annotation submitted by Aalborg University	33645934	Contig	2023-02-23	JAQJAK01
GCA_022702485.1	ASM2270248v1	Simplicillium sp. C3G150-2		C3G150-2						32226264	Contig	2022-03-28	JAJIYY01
GCA_028827265.1	ASM2882726v1	Penicillium atrosanguineum		IBT 20685					Annotation submitted by Aalborg University	28612168	Contig	2023-02-23	JAPZBN01
GCF_028827265.1	ASM2882726v1	Penicillium atrosanguineum		IBT 20685					Annotation submitted by Aalborg University	28612168	Contig	2023-02-23	JAPZBN01
GCA_017639385.1	ASM1763938v1	Yarrowia sp. C11		C11					Annotation submitted by Fraunhofer Institute for Molecular Biology and Applied Ecology (IME)	24883212	Contig	2021-03-30	JAAQQW01
GCA_020137715.1	BUMICRO_TalaroTrachy_1.1	Talaromyces trachyspermus		4014						32038095	Contig	2021-10-05	JACGXQ01
GCA_028974205.1	ASM2897420v1	Penicillium antarcticum		IBT 31339					Annotation submitted by Aalborg University	30836278	Contig	2023-02-23	JAPZBM01
GCF_028974205.1	ASM2897420v1	Penicillium antarcticum		IBT 31339					Annotation submitted by Aalborg University	30836278	Contig	2023-02-23	JAPZBM01
GCA_020726445.1	Chafu1	Chaetomium sp. MPI-SDFR-AT-0129		MPI-SDFR-AT-0129					Annotation submitted by DOE Joint Genome Institute	33300809	Contig	2021-10-29	JAGJXA01
GCA_019176365.1	ASM1917636v1	Aspergillus sp. GbtcF1		GbtcF1						28831586	Contig	2021-07-08	JAGXKD01
GCA_902806525.1	HP	Hypoxylon pulicicidum		ATCC 74245						43538995	Contig	2020-05-07	CADCWX01
GCA_028827665.1	ASM2882766v1	Penicillium hispanicum		IBT 35686					Annotation submitted by Aalborg University	27868179	Contig	2023-02-23	JAQJAD01
GCF_028827665.1	ASM2882766v1	Penicillium hispanicum		IBT 35686					Annotation submitted by Aalborg University	27868179	Contig	2023-02-23	JAQJAD01
GCA_002778125.1	ASM277812v1	Dryadomyces quercivorus		CBS 122982						26411160	Contig	2017-11-16	PCDE01
GCA_025389085.1	ASM2538908v1	Sclerotinia subarctica					HE1			44061906	Contig	2022-09-23	QRFI01
GCA_029298715.1	OphUlm_1.0	Ophiostoma ulmi					785401			31902097	Contig	2023-03-20	JANSLN01
GCA_036851105.1	ASM3685110v1	Colletotrichum tabaci		YC1					Annotation submitted by Research Institute of Pomology, Chinese Academy of Agricultural Sciences	52145981	Contig	2024-02-23	JASAOK01
GCA_017163955.1	ASM1716395v1	Arthrinium sp. KUC21332		KUC21332						48739493	Contig	2021-03-04	JAFHKQ01
GCA_028827675.1	ASM2882767v1	Penicillium lagena		IBT 129212					Annotation submitted by Aalborg University	27859125	Contig	2023-02-23	JAQJAF01
GCF_028827675.1	ASM2882767v1	Penicillium lagena		IBT 129212					Annotation submitted by Aalborg University	27859125	Contig	2023-02-23	JAQJAF01
GCA_028827695.1	ASM2882769v1	Penicillium maclennaniae		IBT 15551					Annotation submitted by Aalborg University	27935234	Contig	2023-02-23	JAQJAJ01
GCF_028827695.1	ASM2882769v1	Penicillium maclennaniae		IBT 15551					Annotation submitted by Aalborg University	27935234	Contig	2023-02-23	JAQJAJ01
GCA_013842865.1	AHAU-kiwi-Diaporthe	Diaporthe sp. NJD1		NJD1						58328132	Contig	2020-07-28	JACDXY01
GCA_016584495.1	CeDisp_v1	Celoporthe dispersa		CMW9976						41392377	Contig	2021-01-08	WAID01
GCA_029298825.1	OphQue15807_1.0	Ophiostoma quercus					15807			32131819	Contig	2023-03-20	JANSLT01
GCA_902805475.1	EL	Entonaema liquescens		ATCC 46302						39197785	Contig	2020-04-25	CADCSX01
GCA_031142775.1	ASM3114277v1	Microdochium paspali		I16						37322795	Contig	2023-09-05	JAVBIV01
GCA_029299165.1	OphHim_1.0	Ophiostoma himal-ulmi					HP32			32191500	Contig	2023-03-20	JANSME01
GCA_028828195.1	ASM2882819v1	Penicillium verhagenii		IBT 33310					Annotation submitted by Aalborg University	32288599	Contig	2023-02-23	JAQKAM01
GCF_028828195.1	ASM2882819v1	Penicillium verhagenii		IBT 33310					Annotation submitted by Aalborg University	32288599	Contig	2023-02-23	JAQKAM01
GCA_024611085.1	UAEM_Exo_1.0	Exophiala sp. LBMH1013		LBMH1013						27788467	Contig	2022-08-11	JAMFLB01
GCA_018806995.1	ASM1880699v1	Monascus pilosus		MS-1						26196030	Contig	2021-06-09	JAGHLQ01
GCA_002778075.1	ASM277807v1	Grosmannia penicillata		CBS 134055						27679855	Contig	2017-11-16	PCDK01
GCA_026745475.1	ASM2674547v1	Microdochium nivale		F00608					Annotation submitted by FRC Kazan Scientific Center of RAS	37029846	Contig	2022-12-08	JANTFD01
GCA_028828495.1	ASM2882849v1	Penicillium riverlandense		IBT 135883					Annotation submitted by Aalborg University	27919989	Contig	2023-02-23	JAQJAV01
GCF_028828495.1	ASM2882849v1	Penicillium riverlandense		IBT 135883					Annotation submitted by Aalborg University	27919989	Contig	2023-02-23	JAQJAV01
GCA_003709005.1	ASM370900v1	Magnaporthales sp. P1609		P1609						41821157	Contig	2018-10-31	PELF01
GCA_013372555.1	ASM1337255v1	Elsinoe arachidis		LNFT-H01						33184353	Contig	2020-06-24	JAAPAX01
GCA_018467035.1	ASM1846703v1	Scorias spongiosa		HLSS1						24218186	Contig	2021-05-24	JACSZZ01
GCA_028827545.1	ASM2882754v1	Penicillium diatomitis		IBT 30728					Annotation submitted by Aalborg University	33965862	Contig	2023-02-23	JAPWDQ01
GCF_028827545.1	ASM2882754v1	Penicillium diatomitis		IBT 30728					Annotation submitted by Aalborg University	33965862	Contig	2023-02-23	JAPWDQ01
GCA_019054735.1	ASM1905473v1	Fusarium sp. S18/39		S18/39						39376409	Scaffold	2021-06-29	JAHKOA01
GCA_028826915.1	ASM2882691v1	Penicillium bovifimosum		IBT 22155					Annotation submitted by Aalborg University	27188871	Contig	2023-02-23	JAPQKL01
GCF_028826915.1	ASM2882691v1	Penicillium bovifimosum		IBT 22155					Annotation submitted by Aalborg University	27188871	Contig	2023-02-23	JAPQKL01
GCA_018873225.1	ASM1887322v1	[Phialemoniopsis] sp. UDSM-2020		UDSM-2020						44190464	Scaffold	2021-06-14	JAEILZ01
GCA_028828935.1	ASM2882893v1	Penicillium sp. IBT 18751x		IBT 18751x					Annotation submitted by Aalborg University	30736580	Contig	2023-02-23	JAQJZS01
GCA_028826965.1	ASM2882696v1	Penicillium alfredii		IBT 34128					Annotation submitted by Aalborg University	27430394	Contig	2023-02-23	JAPMSZ01
GCF_028826965.1	ASM2882696v1	Penicillium alfredii		IBT 34128					Annotation submitted by Aalborg University	27430394	Contig	2023-02-23	JAPMSZ01
GCA_017635955.1	ASM1763595v1	Yarrowia sp. B02		B02					Annotation submitted by Fraunhofer Institute for Molecular Biology and Applied Ecology (IME)	19983896	Contig	2021-03-30	JAAQQV01
GCA_030762955.1	ASM3076295v1	Starmerella magnoliae		MDK-2023a						10358530	Contig	2023-08-16	JAUNZF01
GCA_019000065.1	ASM1900006v1	Apiospora saccharicola		KUC21221						55074194	Contig	2021-06-23	JAFHKF01
GCA_014885045.1	ASM1488504v1	Fusarium sp. 'flavolapis'		MK7						45009719	Contig	2020-10-13	JADAQZ01
GCA_020800285.1	Sorhu1	Sordaria sp. MPI-SDFR-AT-0083		MPI-SDFR-AT-0083					Annotation submitted by DOE Joint Genome Institute	39449547	Contig	2021-11-08	JAGTJO01
GCA_019328425.1	ASM1932842v1	Pyricularia sp. 18-2		18-2						41889135	Contig	2021-07-23	JAHTMY01
GCA_003800485.2	ASM380048v2	Penicillium sp. SPG-F15		SPG-F15						36414411	Contig	2023-04-26	PUHX02
GCA_014898485.2	BOTSQU_2	Botrytis squamosa		MUCL 31421						54683200	Contig	2022-07-28	RCTC02
GCA_029298855.1	OphPop_1.0	Ophiostoma populinum					CBS212.67			27775387	Contig	2023-03-20	JANSLU01
GCA_014281115.1	ASM1428111v1	Laburnicola sp. R22_1		R22_1						64007018	Contig	2020-08-24	JACONQ01
GCA_030708095.1	ASM3070809v1	Trichoderma sp. CBMAI-0020		CBMAI-0020					Annotation submitted by University of Campinas	36411897	Contig	2023-08-10	JAJNCI01
GCA_023184715.1	ASM2318471v1	Umbilicaria hispanica					TBG_2337			48636167	Scaffold	2022-04-29	JALILS01
GCA_037356155.1	NIH_D9_1.1	Penicillium sp. D9		D9						35073033	Contig	2024-03-19	JAYXSE01
GCA_948474695.1	Periconia_digitata_genome_assembly	Periconia digitata		CNCM I-4278					Annotation submitted by INRAE	39023295	Contig	2023-04-08	CAOQHR01
